"Selection","View","Channel","Start_DateTime_ISO8601","End_DateTime_ISO8601","Low.Freq..Hz.","High.Freq..Hz.","Species","Detection_Confidence"
82,"Spectrogram 1",1,"2009-03-28T00:56:10-05:00","2009-03-28T00:56:13-05:00",98.485,204.545,"RIWH","Detected"
83,"Spectrogram 1",1,"2009-03-28T00:56:14-05:00","2009-03-28T00:56:17-05:00",116.162,199.495,"RIWH","Detected"
84,"Spectrogram 1",1,"2009-03-28T00:56:17-05:00","2009-03-28T00:56:19-05:00",103.535,191.919,"RIWH","Detected"
85,"Spectrogram 1",1,"2009-03-28T00:56:30-05:00","2009-03-28T00:56:32-05:00",98.485,250,"RIWH","Detected"
86,"Spectrogram 1",1,"2009-03-28T00:56:37-05:00","2009-03-28T00:56:38-05:00",98.485,161.616,"RIWH","Possibly_Detected"
87,"Spectrogram 1",1,"2009-03-28T00:57:07-05:00","2009-03-28T00:57:10-05:00",90.909,194.444,"RIWH","Detected"
88,"Spectrogram 1",1,"2009-03-28T00:57:35-05:00","2009-03-28T00:57:38-05:00",80.808,202.02,"RIWH","Detected"
89,"Spectrogram 1",1,"2009-03-28T00:57:39-05:00","2009-03-28T00:57:41-05:00",90.909,133.838,"RIWH","Possibly_Detected"
90,"Spectrogram 1",1,"2009-03-28T00:57:48-05:00","2009-03-28T00:57:50-05:00",78.283,156.566,"RIWH","Detected"
91,"Spectrogram 1",1,"2009-03-28T00:58:01-05:00","2009-03-28T00:58:04-05:00",80.808,219.697,"RIWH","Detected"
92,"Spectrogram 1",1,"2009-03-28T00:58:17-05:00","2009-03-28T00:58:19-05:00",101.01,202.02,"RIWH","Detected"
93,"Spectrogram 1",1,"2009-03-28T00:58:27-05:00","2009-03-28T00:58:30-05:00",98.485,250,"RIWH","Detected"
94,"Spectrogram 1",1,"2009-03-28T00:58:34-05:00","2009-03-28T00:58:36-05:00",103.535,174.242,"RIWH","Detected"
95,"Spectrogram 1",1,"2009-03-28T00:58:38-05:00","2009-03-28T00:58:40-05:00",106.061,191.919,"RIWH","Detected"
96,"Spectrogram 1",1,"2009-03-28T00:58:55-05:00","2009-03-28T00:58:58-05:00",88.384,181.818,"RIWH","Detected"
97,"Spectrogram 1",1,"2009-03-28T00:59:03-05:00","2009-03-28T00:59:06-05:00",85.859,250,"RIWH","Detected"
98,"Spectrogram 1",1,"2009-03-28T00:59:10-05:00","2009-03-28T00:59:12-05:00",80.808,217.172,"RIWH","Detected"
99,"Spectrogram 1",1,"2009-03-28T00:59:14-05:00","2009-03-28T00:59:17-05:00",80.808,227.273,"RIWH","Detected"
100,"Spectrogram 1",1,"2009-03-28T00:59:17-05:00","2009-03-28T00:59:19-05:00",93.434,204.545,"RIWH","Detected"
101,"Spectrogram 1",1,"2009-03-28T00:59:55-05:00","2009-03-28T00:59:57-05:00",80.808,196.97,"RIWH","Detected"
102,"Spectrogram 1",1,"2009-03-28T01:00:10-05:00","2009-03-28T01:00:12-05:00",88.384,154.04,"RIWH","Detected"
103,"Spectrogram 1",1,"2009-03-28T01:00:30-05:00","2009-03-28T01:00:32-05:00",118.687,227.273,"RIWH","Detected"
104,"Spectrogram 1",1,"2009-03-28T01:01:28-05:00","2009-03-28T01:01:31-05:00",83.333,237.374,"RIWH","Possibly_Detected"
105,"Spectrogram 1",1,"2009-03-28T01:02:22-05:00","2009-03-28T01:02:25-05:00",95.96,234.848,"RIWH","Detected"
106,"Spectrogram 1",1,"2009-03-28T01:07:48-05:00","2009-03-28T01:07:50-05:00",98.485,229.798,"RIWH","Possibly_Detected"
107,"Spectrogram 1",1,"2009-03-28T01:07:53-05:00","2009-03-28T01:07:55-05:00",118.687,224.747,"RIWH","Possibly_Detected"
108,"Spectrogram 1",1,"2009-03-28T01:15:56-05:00","2009-03-28T01:15:58-05:00",113.636,194.444,"RIWH","Detected"
109,"Spectrogram 1",1,"2009-03-28T01:24:38-05:00","2009-03-28T01:24:39-05:00",111.111,166.667,"RIWH","Possibly_Detected"
110,"Spectrogram 1",1,"2009-03-28T01:24:46-05:00","2009-03-28T01:24:49-05:00",93.434,181.818,"RIWH","Detected"
111,"Spectrogram 1",1,"2009-03-28T01:25:11-05:00","2009-03-28T01:25:13-05:00",128.788,207.071,"RIWH","Detected"
112,"Spectrogram 1",1,"2009-03-28T01:25:23-05:00","2009-03-28T01:25:24-05:00",111.111,224.747,"RIWH","Detected"
113,"Spectrogram 1",1,"2009-03-28T01:25:25-05:00","2009-03-28T01:25:26-05:00",113.636,222.222,"RIWH","Detected"
114,"Spectrogram 1",1,"2009-03-28T01:25:57-05:00","2009-03-28T01:25:58-05:00",83.333,174.242,"RIWH","Detected"
115,"Spectrogram 1",1,"2009-03-28T01:26:18-05:00","2009-03-28T01:26:20-05:00",88.384,181.818,"RIWH","Detected"
116,"Spectrogram 1",1,"2009-03-28T01:26:47-05:00","2009-03-28T01:26:50-05:00",85.859,174.242,"RIWH","Detected"
117,"Spectrogram 1",1,"2009-03-28T01:27:24-05:00","2009-03-28T01:27:26-05:00",70.707,196.97,"RIWH","Detected"
118,"Spectrogram 1",1,"2009-03-28T01:27:52-05:00","2009-03-28T01:27:54-05:00",78.283,186.869,"RIWH","Detected"
119,"Spectrogram 1",1,"2009-03-28T01:27:47-05:00","2009-03-28T01:27:49-05:00",95.96,194.444,"RIWH","Possibly_Detected"
120,"Spectrogram 1",1,"2009-03-28T01:27:12-05:00","2009-03-28T01:27:14-05:00",121.212,176.768,"RIWH","Possibly_Detected"
121,"Spectrogram 1",1,"2009-03-28T01:26:26-05:00","2009-03-28T01:26:28-05:00",106.061,174.242,"RIWH","Possibly_Detected"
122,"Spectrogram 1",1,"2009-03-28T01:28:01-05:00","2009-03-28T01:28:03-05:00",98.485,161.616,"RIWH","Detected"
123,"Spectrogram 1",1,"2009-03-28T01:28:16-05:00","2009-03-28T01:28:18-05:00",88.384,146.465,"RIWH","Detected"
124,"Spectrogram 1",1,"2009-03-28T01:28:17-05:00","2009-03-28T01:28:19-05:00",85.859,141.414,"RIWH","Detected"
125,"Spectrogram 1",1,"2009-03-28T01:28:26-05:00","2009-03-28T01:28:28-05:00",101.01,151.515,"RIWH","Detected"
126,"Spectrogram 1",1,"2009-03-28T01:28:32-05:00","2009-03-28T01:28:34-05:00",95.96,151.515,"RIWH","Detected"
127,"Spectrogram 1",1,"2009-03-28T01:28:39-05:00","2009-03-28T01:28:41-05:00",123.737,176.768,"RIWH","Detected"
128,"Spectrogram 1",1,"2009-03-28T01:28:43-05:00","2009-03-28T01:28:46-05:00",95.96,212.121,"RIWH","Detected"
129,"Spectrogram 1",1,"2009-03-28T01:28:56-05:00","2009-03-28T01:28:58-05:00",78.283,174.242,"RIWH","Detected"
130,"Spectrogram 1",1,"2009-03-28T01:28:58-05:00","2009-03-28T01:29:01-05:00",83.333,169.192,"RIWH","Detected"
131,"Spectrogram 1",1,"2009-03-28T01:29:25-05:00","2009-03-28T01:29:27-05:00",101.01,184.343,"RIWH","Detected"
132,"Spectrogram 1",1,"2009-03-28T01:29:29-05:00","2009-03-28T01:29:32-05:00",75.758,171.717,"RIWH","Detected"
133,"Spectrogram 1",1,"2009-03-28T01:29:33-05:00","2009-03-28T01:29:35-05:00",98.485,179.293,"RIWH","Possibly_Detected"
134,"Spectrogram 1",1,"2009-03-28T01:29:40-05:00","2009-03-28T01:29:43-05:00",65.657,169.192,"RIWH","Possibly_Detected"
135,"Spectrogram 1",1,"2009-03-28T01:30:01-05:00","2009-03-28T01:30:03-05:00",75.758,171.717,"RIWH","Possibly_Detected"
136,"Spectrogram 1",1,"2009-03-28T01:30:17-05:00","2009-03-28T01:30:19-05:00",75.758,156.566,"RIWH","Possibly_Detected"
137,"Spectrogram 1",1,"2009-03-28T01:30:37-05:00","2009-03-28T01:30:39-05:00",75.758,166.667,"RIWH","Detected"
138,"Spectrogram 1",1,"2009-03-28T01:30:49-05:00","2009-03-28T01:30:50-05:00",98.485,164.141,"RIWH","Detected"
139,"Spectrogram 1",1,"2009-03-28T01:30:31-05:00","2009-03-28T01:30:33-05:00",93.434,159.091,"RIWH","Possibly_Detected"
140,"Spectrogram 1",1,"2009-03-28T01:31:04-05:00","2009-03-28T01:31:06-05:00",98.485,159.091,"RIWH","Detected"
141,"Spectrogram 1",1,"2009-03-28T01:31:06-05:00","2009-03-28T01:31:07-05:00",90.909,146.465,"RIWH","Possibly_Detected"
142,"Spectrogram 1",1,"2009-03-28T01:31:39-05:00","2009-03-28T01:31:41-05:00",90.909,164.141,"RIWH","Detected"
143,"Spectrogram 1",1,"2009-03-28T01:31:49-05:00","2009-03-28T01:31:51-05:00",98.485,164.141,"RIWH","Detected"
144,"Spectrogram 1",1,"2009-03-28T01:31:52-05:00","2009-03-28T01:31:54-05:00",85.859,151.515,"RIWH","Detected"
145,"Spectrogram 1",1,"2009-03-28T01:31:56-05:00","2009-03-28T01:31:58-05:00",90.909,166.667,"RIWH","Detected"
146,"Spectrogram 1",1,"2009-03-28T01:32:02-05:00","2009-03-28T01:32:03-05:00",111.111,169.192,"RIWH","Detected"
147,"Spectrogram 1",1,"2009-03-28T01:32:15-05:00","2009-03-28T01:32:17-05:00",88.384,169.192,"RIWH","Detected"
148,"Spectrogram 1",1,"2009-03-28T01:32:25-05:00","2009-03-28T01:32:28-05:00",88.384,181.818,"RIWH","Detected"
149,"Spectrogram 1",1,"2009-03-28T01:32:43-05:00","2009-03-28T01:32:44-05:00",90.909,176.768,"RIWH","Possibly_Detected"
150,"Spectrogram 1",1,"2009-03-28T01:33:19-05:00","2009-03-28T01:33:20-05:00",80.808,128.788,"RIWH","Detected"
151,"Spectrogram 1",1,"2009-03-28T01:33:20-05:00","2009-03-28T01:33:22-05:00",101.01,194.444,"RIWH","Detected"
152,"Spectrogram 1",1,"2009-03-28T01:33:28-05:00","2009-03-28T01:33:30-05:00",85.859,174.242,"RIWH","Detected"
153,"Spectrogram 1",1,"2009-03-28T01:33:36-05:00","2009-03-28T01:33:38-05:00",78.283,161.616,"RIWH","Detected"
154,"Spectrogram 1",1,"2009-03-28T01:33:38-05:00","2009-03-28T01:33:41-05:00",70.707,154.04,"RIWH","Detected"
155,"Spectrogram 1",1,"2009-03-28T01:33:51-05:00","2009-03-28T01:33:53-05:00",113.636,179.293,"RIWH","Detected"
156,"Spectrogram 1",1,"2009-03-28T01:34:18-05:00","2009-03-28T01:34:20-05:00",101.01,184.343,"RIWH","Detected"
157,"Spectrogram 1",1,"2009-03-28T01:34:24-05:00","2009-03-28T01:34:27-05:00",75.758,194.444,"RIWH","Detected"
158,"Spectrogram 1",1,"2009-03-28T01:34:33-05:00","2009-03-28T01:34:35-05:00",111.111,209.596,"RIWH","Detected"
159,"Spectrogram 1",1,"2009-03-28T01:34:37-05:00","2009-03-28T01:34:39-05:00",88.384,154.04,"RIWH","Detected"
160,"Spectrogram 1",1,"2009-03-28T01:34:54-05:00","2009-03-28T01:34:56-05:00",126.263,202.02,"RIWH","Detected"
161,"Spectrogram 1",1,"2009-03-28T01:35:05-05:00","2009-03-28T01:35:07-05:00",118.687,204.545,"RIWH","Detected"
162,"Spectrogram 1",1,"2009-03-28T01:35:21-05:00","2009-03-28T01:35:23-05:00",143.939,199.495,"RIWH","Possibly_Detected"
163,"Spectrogram 1",1,"2009-03-28T01:35:28-05:00","2009-03-28T01:35:31-05:00",116.162,196.97,"RIWH","Detected"
164,"Spectrogram 1",1,"2009-03-28T01:35:46-05:00","2009-03-28T01:35:48-05:00",63.131,151.515,"RIWH","Detected"
165,"Spectrogram 1",1,"2009-03-28T01:36:04-05:00","2009-03-28T01:36:06-05:00",83.333,141.414,"RIWH","Detected"
166,"Spectrogram 1",1,"2009-03-28T01:36:08-05:00","2009-03-28T01:36:11-05:00",93.434,224.747,"RIWH","Detected"
167,"Spectrogram 1",1,"2009-03-28T01:36:13-05:00","2009-03-28T01:36:15-05:00",42.929,234.848,"RIWH","Detected"
168,"Spectrogram 1",1,"2009-03-28T01:36:32-05:00","2009-03-28T01:36:34-05:00",108.586,217.172,"RIWH","Detected"
169,"Spectrogram 1",1,"2009-03-28T01:36:51-05:00","2009-03-28T01:36:53-05:00",113.636,166.667,"RIWH","Detected"
170,"Spectrogram 1",1,"2009-03-28T01:37:27-05:00","2009-03-28T01:37:30-05:00",103.535,171.717,"RIWH","Detected"
171,"Spectrogram 1",1,"2009-03-28T01:37:06-05:00","2009-03-28T01:37:08-05:00",128.788,209.596,"RIWH","Detected"
172,"Spectrogram 1",1,"2009-03-28T01:38:02-05:00","2009-03-28T01:38:04-05:00",78.283,217.172,"RIWH","Detected"
173,"Spectrogram 1",1,"2009-03-28T01:38:27-05:00","2009-03-28T01:38:29-05:00",126.263,262.626,"RIWH","Detected"
174,"Spectrogram 1",1,"2009-03-28T01:39:01-05:00","2009-03-28T01:39:04-05:00",75.758,209.596,"RIWH","Detected"
175,"Spectrogram 1",1,"2009-03-28T01:39:06-05:00","2009-03-28T01:39:08-05:00",116.162,179.293,"RIWH","Possibly_Detected"
176,"Spectrogram 1",1,"2009-03-28T01:40:03-05:00","2009-03-28T01:40:05-05:00",136.364,255.051,"RIWH","Possibly_Detected"
177,"Spectrogram 1",1,"2009-03-28T01:40:47-05:00","2009-03-28T01:40:49-05:00",111.111,224.747,"RIWH","Possibly_Detected"
178,"Spectrogram 1",1,"2009-03-28T01:42:19-05:00","2009-03-28T01:42:21-05:00",83.333,166.667,"RIWH","Detected"
179,"Spectrogram 1",1,"2009-03-28T01:42:29-05:00","2009-03-28T01:42:31-05:00",83.333,179.293,"RIWH","Detected"
180,"Spectrogram 1",1,"2009-03-28T01:42:47-05:00","2009-03-28T01:42:48-05:00",88.384,169.192,"RIWH","Detected"
181,"Spectrogram 1",1,"2009-03-28T01:44:26-05:00","2009-03-28T01:44:28-05:00",103.535,209.596,"RIWH","Detected"
182,"Spectrogram 1",1,"2009-03-28T01:44:46-05:00","2009-03-28T01:44:49-05:00",85.859,169.192,"RIWH","Detected"
183,"Spectrogram 1",1,"2009-03-28T01:44:52-05:00","2009-03-28T01:44:54-05:00",80.808,159.091,"RIWH","Detected"
184,"Spectrogram 1",1,"2009-03-28T01:45:14-05:00","2009-03-28T01:45:16-05:00",70.707,174.242,"RIWH","Possibly_Detected"
185,"Spectrogram 1",1,"2009-03-28T01:45:55-05:00","2009-03-28T01:45:57-05:00",118.687,191.919,"RIWH","Detected"
186,"Spectrogram 1",1,"2009-03-28T01:46:45-05:00","2009-03-28T01:46:47-05:00",98.485,212.121,"RIWH","Detected"
187,"Spectrogram 1",1,"2009-03-28T01:46:57-05:00","2009-03-28T01:46:58-05:00",88.154,201.102,"RIWH","Possibly_Detected"
188,"Spectrogram 1",1,"2009-03-28T01:50:11-05:00","2009-03-28T01:50:13-05:00",85.399,187.328,"RIWH","Detected"
189,"Spectrogram 1",1,"2009-03-28T01:50:35-05:00","2009-03-28T01:50:36-05:00",101.928,198.347,"RIWH","Possibly_Detected"
190,"Spectrogram 1",1,"2009-03-28T01:52:02-05:00","2009-03-28T01:52:04-05:00",101.928,316.804,"RIWH","Detected"
191,"Spectrogram 1",1,"2009-03-28T01:52:02-05:00","2009-03-28T01:52:04-05:00",77.135,170.799,"RIWH","Detected"
192,"Spectrogram 1",1,"2009-03-28T01:52:33-05:00","2009-03-28T01:52:35-05:00",115.702,206.612,"RIWH","Possibly_Detected"
193,"Spectrogram 1",1,"2009-03-28T01:53:04-05:00","2009-03-28T01:53:06-05:00",77.135,192.837,"RIWH","Detected"
194,"Spectrogram 1",1,"2009-03-28T01:53:18-05:00","2009-03-28T01:53:20-05:00",104.683,212.121,"RIWH","Detected"
195,"Spectrogram 1",1,"2009-03-28T01:53:46-05:00","2009-03-28T01:53:48-05:00",112.948,217.631,"RIWH","Detected"
196,"Spectrogram 1",1,"2009-03-28T01:54:13-05:00","2009-03-28T01:54:15-05:00",129.477,253.444,"RIWH","Detected"
197,"Spectrogram 1",1,"2009-03-28T01:54:27-05:00","2009-03-28T01:54:29-05:00",148.76,253.444,"RIWH","Detected"
198,"Spectrogram 1",1,"2009-03-28T01:54:45-05:00","2009-03-28T01:54:46-05:00",101.928,203.857,"RIWH","Detected"
199,"Spectrogram 1",1,"2009-03-28T01:54:52-05:00","2009-03-28T01:54:54-05:00",90.909,162.534,"RIWH","Detected"
200,"Spectrogram 1",1,"2009-03-28T01:55:14-05:00","2009-03-28T01:55:16-05:00",82.645,261.708,"RIWH","Detected"
201,"Spectrogram 1",1,"2009-03-28T01:55:21-05:00","2009-03-28T01:55:23-05:00",110.193,272.727,"RIWH","Detected"
202,"Spectrogram 1",1,"2009-03-28T01:55:44-05:00","2009-03-28T01:55:46-05:00",123.967,278.237,"RIWH","Detected"
