Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
111	Spectrogram 1	1	454.329412700	454.693160600	4717.900	22514.700	0.3637	17796.800	-41.12	Whistle
112	Spectrogram 1	1	454.854798300	455.178073900	4886.000	20599.300	0.3233	15713.300	-48.19	Whistle
113	Spectrogram 1	1	457.844618100	458.169471500	3282.100	19856.400	0.3249	16574.300	-48.77	Whistle
114	Spectrogram 1	1	458.364648100	458.669450800	6523.100	19817.600	0.3048	13294.500	-48.39	Whistle
115	Spectrogram 1	1	460.424375600	460.678377800	1189.700	20286.600	0.2540	19096.900	-41.40	Whistle
116	Spectrogram 1	1	460.782844800	461.122244000	2071.700	21743.600	0.3394	19671.900	-42.61	Whistle
117	Spectrogram 1	1	461.946499000	462.184078400	3897.400	21374.400	0.2376	17477.000	-42.45	Whistle
118	Spectrogram 1	1	473.498565400	473.868023200	3674.300	15876.900	0.3695	12202.600	-49.77	Whistle
119	Spectrogram 1	1	474.708539900	474.911545900	3752.400	19076.900	0.2030	15324.500	-54.38	Whistle
120	Spectrogram 1	1	512.005310300	512.217748600	11335.500	15752.400	0.2124	4416.900	-64.94	Whistle
121	Spectrogram 1	1	557.342407500	557.536372900	8638.400	10944.600	0.1940	2306.200	-44.22	Whistle
122	Spectrogram 1	1	557.864266700	558.090559700	6449.500	10631.900	0.2263	4182.400	-37.22	Whistle
123	Spectrogram 1	1	559.152751100	559.448317400	4768.700	15869.700	0.2956	11101.000	-33.89	Whistle
124	Spectrogram 1	1	559.609955200	559.882430400	5081.400	15908.800	0.2725	10827.400	-35.76	Whistle
125	Spectrogram 1	1	560.034831700	560.325779800	4768.700	16182.400	0.2909	11413.700	-33.95	Whistle
126	Spectrogram 1	1	560.515127000	560.746038100	5128.200	16612.400	0.2309	11484.200	-34.35	Whistle
127	Spectrogram 1	1	562.685692000	562.911984900	8560.300	10788.300	0.2263	2228.000	-48.43	Whistle
128	Spectrogram 1	1	564.371342500	564.745418600	5003.300	13837.100	0.3741	8833.800	-41.51	Whistle
129	Spectrogram 1	1	564.860874200	565.184149800	4612.400	14736.200	0.3233	10123.800	-44.21	Whistle
130	Spectrogram 1	1	565.267277900	565.585935300	5042.300	15987.000	0.3187	10944.700	-45.55	Whistle
131	Spectrogram 1	1	596.403336200	597.160724900	4729.600	13094.500	0.7574	8364.900	-56.62	Whistle
132	Spectrogram 1	1	599.243543300	600.047114200	4377.900	16807.800	0.8036	12429.900	-50.84	Whistle
133	Spectrogram 1	1	601.444869600	602.305425400	2051.300	20348.700	0.8606	18297.400	-50.72	Whistle
134	Spectrogram 1	1	603.442475900	604.349156400	2133.300	21251.300	0.9067	19118.000	-49.19	Whistle
135	Spectrogram 1	1	605.842511100	606.932885100	2092.300	19241.000	1.0904	17148.700	-48.04	Whistle
136	Spectrogram 1	1	608.048605400	609.057105700	2010.300	21579.500	1.0085	19569.200	-47.24	Whistle
137	Spectrogram 1	1	610.337125300	611.277745800	2051.300	21128.200	0.9406	19076.900	-46.86	Whistle
138	Spectrogram 1	1	615.476592900	616.165088300	2338.500	16533.300	0.6885	14194.800	-50.26	Whistle
139	Spectrogram 1	1	623.443032100	623.683179800	1993.500	18801.300	0.2401	16807.800	-40.68	Whistle
140	Spectrogram 1	1	624.851590300	626.487670500	3713.400	23630.800	1.6361	19917.400	-42.60	Whistle
141	Spectrogram 1	1	652.023472300	652.241657500	4456.000	12225.600	0.2182	7769.600	-52.83	Whistle
142	Spectrogram 1	1	652.422382800	652.619845100	5433.200	18051.300	0.1975	12618.100	-52.91	Whistle
143	Spectrogram 1	1	664.254269700	664.416384200	6527.700	21907.700	0.1621	15380.000	-53.94	Whistle
144	Spectrogram 1	1	664.586083800	664.775177600	7384.600	21702.600	0.1891	14318.000	-50.29	Whistle
145	Spectrogram 1	1	664.944877200	665.153365200	7794.900	19487.200	0.2085	11692.300	-51.56	Whistle
146	Spectrogram 1	1	666.715782800	666.886657100	7739.400	10045.600	0.1709	2306.200	-54.92	Whistle
147	Spectrogram 1	1	667.795829900	667.975226600	4923.100	17271.800	0.1794	12348.700	-50.99	Whistle
148	Spectrogram 1	1	671.412855000	672.241958600	5128.200	12759.000	0.8291	7630.800	-50.60	Whistle
149	Spectrogram 1	1	677.868791800	679.097818600	5661.500	19815.400	1.2290	14153.900	-44.94	Whistle
150	Spectrogram 1	1	680.011647300	681.328155700	5661.500	22071.800	1.3165	16410.300	-47.98	Whistle
151	Spectrogram 1	1	682.874944800	684.232442600	5866.700	21620.500	1.3575	15753.800	-48.52	Whistle
152	Spectrogram 1	1	692.000553100	693.226519700	5433.200	22153.800	1.2260	16720.600	-49.52	Whistle
153	Spectrogram 1	1	698.724785600	699.990259600	3869.700	21989.700	1.2655	18120.000	-51.40	Whistle
154	Spectrogram 1	1	711.013778100	711.212361700	4925.100	8560.300	0.1986	3635.200	-51.32	Whistle
155	Spectrogram 1	1	711.277016800	711.595674200	7622.100	10671.000	0.3187	3048.900	-45.98	Whistle
156	Spectrogram 1	1	715.410326600	715.853676000	3478.800	9693.800	0.4433	6215.000	-37.95	Whistle
157	Spectrogram 1	1	716.389389000	717.599363500	6215.000	10436.500	1.2100	4221.500	-36.58	Whistle
158	Spectrogram 1	1	719.035631000	719.303487900	8013.000	10123.800	0.2679	2110.800	-44.77	Whistle
159	Spectrogram 1	1	722.468179400	722.600899300	5702.600	11960.900	0.1327	6258.300	-39.75	Whistle
160	Spectrogram 1	1	724.711427200	724.999127200	4389.700	10983.700	0.2877	6594.000	-31.19	Whistle
161	Spectrogram 1	1	725.794290900	726.080355800	4759.000	10543.600	0.2861	5784.600	-31.26	Whistle
162	Spectrogram 1	1	727.122139800	727.316105200	8443.000	11140.100	0.1940	2697.100	-39.29	Whistle
163	Spectrogram 1	1	728.635546500	728.830882300	7917.900	10710.100	0.1953	2792.200	-43.15	Whistle
164	Spectrogram 1	1	729.246522400	729.403542000	8247.600	10358.300	0.1570	2110.700	-36.64	Whistle
165	Spectrogram 1	1	731.399225100	731.927718100	3364.100	18051.300	0.5285	14687.200	-37.62	Whistle
166	Spectrogram 1	1	732.262268600	732.456187500	7261.500	11296.400	0.1939	4034.900	-37.82	Whistle
167	Spectrogram 1	1	732.788699600	732.927246300	6840.400	14032.600	0.1385	7192.200	-36.81	Whistle
168	Spectrogram 1	1	734.677553000	734.853045500	8208.500	11843.600	0.1755	3635.100	-41.86	Whistle
169	Spectrogram 1	1	738.071947000	738.270530600	6332.200	11296.400	0.1986	4964.200	-33.33	Whistle
170	Spectrogram 1	1	738.704643600	738.870899700	6371.300	11374.600	0.1663	5003.300	-41.32	Whistle
171	Spectrogram 1	1	739.087956200	739.231121100	7973.900	12078.200	0.1432	4104.300	-47.20	Whistle
172	Spectrogram 1	1	739.586724300	739.725271000	7583.100	10944.600	0.1385	3361.500	-44.95	Whistle
173	Spectrogram 1	1	739.997746000	740.164002100	8794.800	10788.300	0.1663	1993.500	-43.49	Whistle
174	Spectrogram 1	1	740.357967400	740.630442600	7114.000	12586.300	0.2725	5472.300	-45.39	Whistle
175	Spectrogram 1	1	740.718188900	740.926008900	5941.400	11882.700	0.2078	5941.300	-47.43	Whistle
176	Spectrogram 1	1	742.297621100	746.264675000	6097.700	13680.800	3.9671	7583.100	-45.73	Whistle
177	Spectrogram 1	1	747.520830800	748.010362500	4456.000	13368.100	0.4895	8912.100	-39.33	Whistle
178	Spectrogram 1	1	748.421384300	748.703096000	3869.700	12273.600	0.2817	8403.900	-38.20	Whistle
179	Spectrogram 1	1	749.317319700	749.920720700	4338.800	16779.500	0.6034	12440.700	-40.47	Whistle
180	Spectrogram 1	1	752.642440400	753.210481800	2892.500	21068.400	0.5680	18175.900	-36.47	Whistle
181	Spectrogram 1	1	753.219718300	753.843178400	3400.700	21224.800	0.6235	17824.100	-36.19	Whistle
182	Spectrogram 1	1	756.101489500	756.632585200	4495.100	16221.500	0.5311	11726.400	-40.00	Whistle
183	Spectrogram 1	1	760.800887300	761.144589300	4348.700	21333.300	0.3437	16984.600	-39.21	Whistle
184	Spectrogram 1	1	763.753885400	764.086397500	3596.100	14697.100	0.3325	11101.000	-49.99	Whistle
185	Spectrogram 1	1	764.829931400	765.416445800	7739.400	15244.300	0.5865	7504.900	-52.23	Whistle
186	Spectrogram 1	1	768.870876700	769.485100500	1172.600	10944.600	0.6142	9772.000	-41.27	Whistle
187	Spectrogram 1	1	772.417671200	772.847165900	5941.400	12508.100	0.4295	6566.700	-37.59	Whistle
188	Spectrogram 1	1	773.058044600	773.552597600	6071.800	16369.200	0.4946	10297.400	-36.44	Whistle
189	Spectrogram 1	1	774.103322700	774.814529100	5667.800	12039.100	0.7112	6371.300	-40.13	Whistle
190	Spectrogram 1	1	775.872102300	776.781737900	6136.800	16041.000	0.9096	9904.200	-48.44	Whistle
191	Spectrogram 1	1	777.973393800	778.158122700	6840.400	11804.600	0.1847	4964.200	-43.52	Whistle
192	Spectrogram 1	1	785.833608800	786.059901800	7153.100	10514.700	0.2263	3361.600	-44.60	Whistle
193	Spectrogram 1	1	786.484778300	786.687980200	6566.800	10827.400	0.2032	4260.600	-47.98	Whistle
194	Spectrogram 1	1	786.932746000	787.135947800	7700.300	10983.700	0.2032	3283.400	-45.28	Whistle
195	Spectrogram 1	1	787.320676800	787.491551000	6215.000	12820.800	0.1709	6605.800	-43.61	Whistle
196	Spectrogram 1	1	791.531053800	791.860390200	2748.700	22710.100	0.3293	19961.400	-43.48	Whistle
198	Spectrogram 1	1	791.964850463	792.331448800	2500.000	23318.182	0.3666	20818.182	-42.18	Whistle
200	Spectrogram 1	1	792.391178685	792.788653000	3272.727	22818.182	0.3975	19545.455	-41.73	Whistle
202	Spectrogram 1	1	792.942187802	793.310512200	3227.273	23909.091	0.3683	20681.818	-42.67	Whistle
203	Spectrogram 1	1	795.688897200	796.053736900	2814.300	22006.500	0.3648	19192.200	-46.22	Whistle
204	Spectrogram 1	1	799.361476700	799.734460800	4377.900	22030.800	0.3730	17652.900	-40.84	Whistle
205	Spectrogram 1	1	806.107608600	806.366229100	6879.500	14188.900	0.2586	7309.400	-49.95	Whistle
206	Spectrogram 1	1	806.749541700	806.929652400	7309.400	10710.100	0.1801	3400.700	-41.55	Whistle
207	Spectrogram 1	1	807.543876100	808.430575000	3791.500	18254.100	0.8867	14462.600	-48.52	Whistle
208	Spectrogram 1	1	810.096186500	810.291719000	8912.100	11528.200	0.1955	2616.100	-39.94	Whistle
209	Spectrogram 1	1	810.956572197	811.367764900	3636.364	23452.800	0.4112	19816.436	-50.55	Whistle
210	Spectrogram 1	1	811.529402700	811.898860600	4886.000	23296.400	0.3695	18410.400	-48.59	Whistle
211	Spectrogram 1	1	813.985111356	814.351137200	3818.182	23218.200	0.3660	19400.018	-43.92	Whistle
212	Spectrogram 1	1	816.618684700	816.849595900	6410.400	12195.400	0.2309	5785.000	-55.04	Whistle
213	Spectrogram 1	1	817.126689200	819.306490600	4299.700	20951.100	2.1798	16651.400	-46.44	Whistle
214	Spectrogram 1	1	832.292889800	833.160781900	5620.500	21989.700	0.8679	16369.200	-48.90	Whistle
215	Spectrogram 1	1	833.521379900	834.675935800	4573.300	19117.900	1.1546	14544.600	-45.57	Whistle
216	Spectrogram 1	1	835.571870900	838.213494700	4573.300	18912.800	2.6416	14339.500	-44.62	Whistle
217	Spectrogram 1	1	838.776157800	841.529379100	3938.500	21456.400	2.7532	17517.900	-45.48	Whistle
218	Spectrogram 1	1	843.285317000	843.533687200	6728.200	10788.300	0.2484	4060.100	-48.45	Whistle
219	Spectrogram 1	1	845.113119600	845.320939700	7309.400	11179.200	0.2078	3869.800	-49.86	Whistle
220	Spectrogram 1	1	846.063541300	846.230729600	6400.000	10436.500	0.1672	4036.500	-47.12	Whistle
221	Spectrogram 1	1	846.684156900	846.868044400	5702.600	10241.000	0.1839	4538.400	-48.89	Whistle
222	Spectrogram 1	1	847.468413400	847.662378800	5511.400	10241.000	0.1940	4729.600	-47.45	Whistle
223	Spectrogram 1	1	848.147292300	848.368967000	6488.600	10788.300	0.2217	4299.700	-51.82	Whistle
224	Spectrogram 1	1	853.496382400	853.712251100	5497.400	10944.600	0.2159	5447.200	-49.82	Whistle
225	Spectrogram 1	1	854.538822600	854.737496700	6646.200	10174.400	0.1987	3528.200	-50.90	Whistle
226	Spectrogram 1	1	867.446846100	868.906204700	4768.700	11218.200	1.4594	6449.500	-50.27	Whistle
227	Spectrogram 1	1	869.525046600	871.025969200	4612.400	16328.200	1.5009	11715.800	-47.75	Whistle
228	Spectrogram 1	1	871.566944400	872.910204200	3610.300	22194.900	1.3433	18584.600	-45.34	Whistle
229	Spectrogram 1	1	873.423940000	874.891422000	5159.600	22359.000	1.4675	17199.400	-47.36	Whistle
230	Spectrogram 1	1	875.459463300	876.974240600	4495.100	22523.100	1.5148	18028.000	-43.69	Whistle
231	Spectrogram 1	1	877.648501200	878.950840200	4456.000	11491.900	1.3023	7035.900	-38.82	Whistle
232	Spectrogram 1	1	879.463462900	880.866619100	5159.600	21743.600	1.4032	16584.000	-43.84	Whistle
233	Spectrogram 1	1	881.390263500	882.636343200	5120.500	21825.600	1.2461	16705.100	-41.92	Whistle
234	Spectrogram 1	1	883.513932400	884.793952000	4886.000	22276.900	1.2800	17390.900	-42.37	Whistle
235	Spectrogram 1	1	885.402497800	886.733623000	5433.200	22194.900	1.3311	16761.700	-45.43	Whistle
236	Spectrogram 1	1	891.766409500	892.997963700	5003.300	21989.700	1.2316	16986.400	-44.17	Whistle
237	Spectrogram 1	1	893.817370200	895.100765800	4102.600	22030.800	1.2834	17928.200	-42.69	Whistle
238	Spectrogram 1	1	895.701134900	896.869545400	4729.600	12859.900	1.1684	8130.300	-40.90	Whistle
239	Spectrogram 1	1	897.642883300	898.845326000	4886.000	21784.600	1.2024	16898.600	-44.84	Whistle
240	Spectrogram 1	1	899.751315800	900.702669800	4768.700	17042.300	0.9514	12273.600	-41.81	Bout
241	Spectrogram 1	1	901.497004100	902.103557700	5433.200	21620.500	0.6066	16187.300	-44.25	Whistle
242	Spectrogram 1	1	903.755315300	904.120155000	4964.200	19700.300	0.3648	14736.100	-40.59	Whistle
243	Spectrogram 1	1	905.394784500	905.769068300	4886.000	20020.500	0.3743	15134.500	-39.40	Whistle
244	Spectrogram 1	1	907.112119200	907.252727400	6684.000	9969.200	0.1406	3285.200	-45.90	Whistle
245	Spectrogram 1	1	909.292564900	909.495766700	6762.200	10827.400	0.2032	4065.200	-43.51	Whistle
246	Spectrogram 1	1	909.754387200	910.128463300	5550.500	19661.200	0.3741	14110.700	-45.90	Whistle
247	Spectrogram 1	1	910.470211800	910.668795400	8364.800	10983.700	0.1986	2618.900	-43.92	Whistle
248	Spectrogram 1	1	912.751614000	913.144163000	4495.100	17120.500	0.3925	12625.400	-40.14	Whistle
249	Spectrogram 1	1	916.224518000	916.473902100	4846.900	17863.200	0.2494	13016.300	-41.83	Whistle
250	Spectrogram 1	1	917.605366700	918.261154400	4065.100	21537.500	0.6558	17472.400	-38.92	Whistle
251	Spectrogram 1	1	922.750067400	923.456655500	5316.000	15791.500	0.7066	10475.500	-39.40	Bout
252	Spectrogram 1	1	923.821495000	924.542689000	1915.300	20020.500	0.7212	18105.200	-42.24	Whistle
253	Spectrogram 1	1	925.488673700	926.690600600	5169.200	17745.900	1.2019	12576.700	-45.68	Bout
254	Spectrogram 1	1	961.285069500	961.668105700	4717.900	9517.900	0.3830	4800.000	-35.33	Whistle
