Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin Date Time	End Date Time	Delta Time (s)	signalType	species	deploymentType	deploymentID	selectionID
45	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	774.533802579	775.753423192	7896.226	20360.377	15562.5	2023-10-11 16:08:56.5338	2023-10-11 16:08:57.7534	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_45_delphinidae_whistles
46	Spectrogram 1	1	F_D07_20231011_160801.WAV	F_D07_20231011_160801.WAV	776.806285087	777.989043247	6084.906	18549.057	14062.5	2023-10-11 16:08:58.8063	2023-10-11 16:08:59.989	1.1828	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_46_delphinidae_whistles
47	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	781.425506611	782.645127224	6990.566	19454.717	14250	2023-10-11 16:12:03.4255	2023-10-11 16:12:04.6451	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_47_delphinidae_whistles
48	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	783.953217727	785.172838341	6266.038	18730.189	12562.5	2023-10-11 16:12:05.9532	2023-10-11 16:12:07.1728	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_48_delphinidae_whistles
49	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	785.799936197	787.01955681	4998.113	17462.264	12750	2023-10-11 16:12:07.7999	2023-10-11 16:12:09.0196	1.2196	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_49_delphinidae_whistles
50	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	790.321417458	792.200700459	5306.604	19327.358	12937.5	2023-10-11 16:12:12.3214	2023-10-11 16:12:14.2007	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_50_delphinidae_whistles
51	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	792.57388892	794.453171921	5668.868	19689.623	15187.5	2023-10-11 16:12:14.5739	2023-10-11 16:12:16.4532	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_51_delphinidae_whistles
52	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	794.365755245	796.245038246	5306.604	19327.358	12750	2023-10-11 16:12:16.3658	2023-10-11 16:12:18.245	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_52_delphinidae_whistles
53	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	798.218607241	800.410870028	6212.264	21373.585	14062.5	2023-10-11 16:12:20.2186	2023-10-11 16:12:22.4109	2.1923	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_53_delphinidae_whistles
54	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	811.754920188	813.634203189	5306.604	19327.358	12937.5	2023-10-11 16:12:33.7549	2023-10-11 16:12:35.6342	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_54_delphinidae_whistles
55	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	818.662673416	820.541956417	6031.132	20051.887	12937.5	2023-10-11 16:12:40.6627	2023-10-11 16:12:42.542	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_55_delphinidae_whistles
56	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	821.184767397	823.064050398	6936.792	20957.547	11812.5	2023-10-11 16:12:43.1848	2023-10-11 16:12:45.0641	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_56_delphinidae_whistles
57	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	826.365203786	828.244486787	5850	19870.755	12562.5	2023-10-11 16:12:48.3652	2023-10-11 16:12:50.2445	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_57_delphinidae_whistles
58	Spectrogram 1	1	F_D07_20231011_161200.WAV	F_D07_20231011_161200.WAV	829.70178246	831.581065461	6393.396	20414.151	12000	2023-10-11 16:12:51.7018	2023-10-11 16:12:53.5811	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_58_delphinidae_whistles
59	Spectrogram 1	1	F_D07_20231011_161601.WAV	F_D07_20231011_161601.WAV	852.781534868	854.660817869	6393.396	20414.151	12937.5	2023-10-11 16:16:15.7815	2023-10-11 16:16:17.6608	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_59_delphinidae_whistles
60	Spectrogram 1	1	F_D07_20231011_161601.WAV	F_D07_20231011_161601.WAV	893.793086657	895.672369658	5306.604	19327.358	12750	2023-10-11 16:16:56.7931	2023-10-11 16:16:58.6724	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_60_delphinidae_whistles
61	Spectrogram 1	1	F_D07_20231011_162001.WAV	F_D07_20231011_162001.WAV	897.786870222	899.666153223	6393.396	20414.151	15562.5	2023-10-11 16:20:01.7869	2023-10-11 16:20:03.6662	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_61_delphinidae_whistles
62	Spectrogram 1	1	F_D07_20231011_162001.WAV	F_D07_20231011_162001.WAV	933.273209692	935.152492693	7661.321	21682.075	12937.5	2023-10-11 16:20:37.2732	2023-10-11 16:20:39.1525	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_62_delphinidae_whistles
63	Spectrogram 1	1	F_D07_20231011_162001.WAV	F_D07_20231011_162001.WAV	936.827215361	938.706498362	5850	19870.755	12750	2023-10-11 16:20:40.8272	2023-10-11 16:20:42.7065	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_63_delphinidae_whistles
64	Spectrogram 1	1	F_D07_20231011_162001.WAV	F_D07_20231011_162001.WAV	950.991149892	952.870432893	5850	19870.755	14062.5	2023-10-11 16:20:54.9911	2023-10-11 16:20:56.8704	1.8793	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_64_delphinidae_whistles
65	Spectrogram 1	1	F_D07_20231011_162401.WAV	F_D07_20231011_162401.WAV	956.095954349	957.176024244	6031.132	20051.887	12750	2023-10-11 16:24:01.096	2023-10-11 16:24:02.176	1.0801	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_65_delphinidae_whistles
66	Spectrogram 1	1	F_D07_20231011_162401.WAV	F_D07_20231011_162401.WAV	959.045740561	961.384048879	5189.151	20169.34	15562.5	2023-10-11 16:24:04.0457	2023-10-11 16:24:06.384	2.3383	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_66_delphinidae_whistles
67	Spectrogram 1	1	F_D07_20231011_162801.WAV	F_D07_20231011_162801.WAV	1062.437445578	1064.843159526	5487.736	20830.189	12937.5	2023-10-11 16:28:48.4374	2023-10-11 16:28:50.8432	2.4057	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_67_delphinidae_whistles
68	Spectrogram 1	1	F_D07_20231011_162801.WAV	F_D07_20231011_162801.WAV	1070.696822342	1071.640501159	5306.604	19327.358	15937.5	2023-10-11 16:28:56.6968	2023-10-11 16:28:57.6405	0.9437	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_68_delphinidae_whistles
69	Spectrogram 1	1	F_D07_20231011_164400.WAV	F_D07_20231011_171600.WAV	1083.973551229	1552.069774178	8064	46848	21937.5	2023-10-11 16:44:09.9736	2023-10-11 17:16:58.0698	468.0962	clicks	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_69_delphinidae_clicks
70	Spectrogram 1	1	F_D07_20231011_164400.WAV	F_D07_20231011_164400.WAV	1085.116318071	1087.589437649	6393.396	20649.057	20625	2023-10-11 16:44:11.1163	2023-10-11 16:44:13.5894	2.4731	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_70_delphinidae_whistles
71	Spectrogram 1	1	F_D07_20231011_164400.WAV	F_D07_20231011_164400.WAV	1121.425430644	1122.202175206	5668.868	19689.623	14062.5	2023-10-11 16:44:47.4254	2023-10-11 16:44:48.2022	0.7767	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_71_delphinidae_whistles
72	Spectrogram 1	1	F_D07_20231011_164400.WAV	F_D07_20231011_164400.WAV	1123.138657067	1123.915401629	5668.868	19689.623	14062.5	2023-10-11 16:44:49.1387	2023-10-11 16:44:49.9154	0.7767	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_72_delphinidae_whistles
73	Spectrogram 1	1	F_D07_20231011_164800.WAV	F_D07_20231011_164800.WAV	1147.105669958	1147.88241452	5668.868	19689.623	14437.5	2023-10-11 16:48:13.1057	2023-10-11 16:48:13.8824	0.7767	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_73_delphinidae_whistles
74	Spectrogram 1	1	F_D07_20231011_165200.WAV	F_D07_20231011_165200.WAV	1235.23352332	1237.239630715	4038.679	18294.34	10125	2023-10-11 16:52:41.2335	2023-10-11 16:52:43.2396	2.0061	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_74_delphinidae_whistles
75	Spectrogram 1	1	F_D07_20231011_170000.WAV	F_D07_20231011_170000.WAV	1298.666417005	1300.571415956	5487.736	19924.528	14625	2023-10-11 17:00:44.6664	2023-10-11 17:00:46.5714	1.905	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_75_delphinidae_whistles
76	Spectrogram 1	1	F_D07_20231011_170000.WAV	F_D07_20231011_170000.WAV	1303.474685262	1304.767416409	5850	20830.189	12937.5	2023-10-11 17:00:49.4747	2023-10-11 17:00:50.7674	1.2927	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_76_delphinidae_whistles
77	Spectrogram 1	1	F_D07_20231011_170400.WAV	F_D07_20231011_170400.WAV	1319.953183398	1320.72992796	4219.811	18240.566	14062.5	2023-10-11 17:04:05.9532	2023-10-11 17:04:06.7299	0.7767	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_77_delphinidae_whistles
78	Spectrogram 1	1	F_D07_20231011_170400.WAV	F_D07_20231011_170400.WAV	1322.734455536	1323.965398189	4166.038	19870.755	11812.5	2023-10-11 17:04:08.7345	2023-10-11 17:04:09.9654	1.2309	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_78_delphinidae_whistles
79	Spectrogram 1	1	F_D07_20231011_170400.WAV	F_D07_20231011_170400.WAV	1326.306432302	1327.924167416	5252.83	19562.264	12375	2023-10-11 17:04:12.3064	2023-10-11 17:04:13.9242	1.6177	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_79_delphinidae_whistles
80	Spectrogram 1	1	F_D07_20231011_170400.WAV	F_D07_20231011_170400.WAV	1336.555735563	1338.173470678	5343.396	19652.83	12562.5	2023-10-11 17:04:22.5557	2023-10-11 17:04:24.1735	1.6177	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_80_delphinidae_whistles
81	Spectrogram 1	1	F_D07_20231011_170800.WAV	F_D07_20231011_170800.WAV	1396.808641486	1397.612148104	6566.038	19154.717	12937.5	2023-10-11 17:08:22.8086	2023-10-11 17:08:23.6121	0.8035	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_81_delphinidae_whistles
82	Spectrogram 1	1	F_D07_20231011_170800.WAV	F_D07_20231011_170800.WAV	1417.125019269	1417.928525887	6566.038	19154.717	12750	2023-10-11 17:08:43.125	2023-10-11 17:08:43.9285	0.8035	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_82_delphinidae_whistles
83	Spectrogram 1	1	F_D07_20231011_170800.WAV	F_D07_20231011_170800.WAV	1433.448453379	1433.956932269	8150.943	20603.774	20437.5	2023-10-11 17:08:59.4485	2023-10-11 17:08:59.9569	0.5085	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_83_delphinidae_whistles
84	Spectrogram 1	1	F_D07_20231011_171200.WAV	F_D07_20231011_171200.WAV	1434.80486358	1435.608370198	6384.906	18973.585	15750	2023-10-11 17:12:00.8049	2023-10-11 17:12:01.6084	0.8035	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_84_delphinidae_whistles
85	Spectrogram 1	1	F_D07_20231011_171200.WAV	F_D07_20231011_171200.WAV	1435.619348273	1436.422854891	6566.038	19154.717	15562.5	2023-10-11 17:12:01.6193	2023-10-11 17:12:02.4229	0.8035	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_85_delphinidae_whistles
86	Spectrogram 1	1	F_D07_20231011_171200.WAV	F_D07_20231011_171200.WAV	1436.815798202	1437.61930482	7833.962	20422.642	19312.5	2023-10-11 17:12:02.8158	2023-10-11 17:12:03.6193	0.8035	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_86_delphinidae_whistles
87	Spectrogram 1	1	F_D07_20231011_171200.WAV	F_D07_20231011_171200.WAV	1440.273965823	1441.501438097	6384.906	19200	16687.5	2023-10-11 17:12:06.274	2023-10-11 17:12:07.5014	1.2275	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_87_delphinidae_whistles
88	Spectrogram 1	1	F_D07_20231011_171200.WAV	F_D07_20231011_171200.WAV	1446.690827089	1448.979938031	5841.509	20649.057	20625	2023-10-11 17:12:12.6908	2023-10-11 17:12:14.9799	2.2891	whistles	Delphinidae	fishing_operations_aFAD	F_D07	F_D07_sel_88_delphinidae_whistles
