Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	File Offset (s)	Annotation
16	Spectrogram 1	1	24.527957290	25.678239096	7000.000	21090.909	1.1503	14090.909	-43.70	palmyra092007FS192-070924-205305.wav	24.5280	24.5280	Whistle
17	Spectrogram 1	1	26.780260066	27.801839012	7727.273	23772.727	1.0216	16045.454	-44.34	palmyra092007FS192-070924-205305.wav	26.7803	26.7802	Whistle
18	Spectrogram 1	1	37.177043395	39.031168962	6181.818	23772.727	1.8541	17590.909	-38.66	palmyra092007FS192-070924-205305.wav	37.1770	37.1770	Whistle
19	Spectrogram 1	1	40.760616371	42.309072647	6181.818	17590.909	1.5485	11409.091	-41.47	palmyra092007FS192-070924-205305.wav	40.7606	40.7606	Whistle
20	Spectrogram 1	1	43.029004267	44.842910191	5909.091	17045.455	1.8139	11136.364	-43.34	palmyra092007FS192-070924-205305.wav	43.0290	43.0290	Bout
21	Spectrogram 1	1	45.132486829	46.873997395	6590.909	23909.091	1.7415	17318.182	-41.43	palmyra092007FS192-070924-205305.wav	45.1325	45.1325	Whistle
22	Spectrogram 1	1	47.014766147	47.541643478	11090.909	17409.091	0.5269	6318.182	-43.80	palmyra092007FS192-070924-205305.wav	47.0148	47.0148	Whistle
23	Spectrogram 1	1	48.004169378	49.797965480	6227.273	23818.182	1.7938	17590.909	-43.87	palmyra092007FS192-070924-205305.wav	48.0042	48.0042	Whistle
24	Spectrogram 1	1	50.517897100	52.090485162	6409.091	23727.273	1.5726	17318.182	-44.33	palmyra092007FS192-070924-205305.wav	50.5179	50.5179	Whistle
25	Spectrogram 1	1	52.762153561	53.003471422	6863.636	13500.000	0.2413	6636.364	-43.45	palmyra092007FS192-070924-205305.wav	52.7622	52.7621	Whistle
26	Spectrogram 1	1	53.293052856	54.254302336	8181.818	15727.273	0.9612	7545.455	-42.96	palmyra092007FS192-070924-205305.wav	53.2931	53.2931	Whistle
27	Spectrogram 1	1	57.958534243	59.744286417	8409.091	17454.545	1.7858	9045.454	-43.62	palmyra092007FS192-070924-205305.wav	57.9585	57.9585	Whistle
28	Spectrogram 1	1	60.464218036	60.830216792	8863.636	12636.364	0.3660	3772.728	-43.13	palmyra092007FS192-070924-205305.wav	60.4642	60.4642	Whistle
29	Spectrogram 1	1	62.169533659	62.889465278	8136.364	13545.455	0.7199	5409.091	-43.30	palmyra092007FS192-070924-205305.wav	62.1695	62.1695	Whistle
30	Spectrogram 1	1	62.953816708	64.799898347	7636.364	15227.273	1.8461	7590.909	-43.46	palmyra092007FS192-070924-205305.wav	62.9538	62.9538	Bout
31	Spectrogram 1	1	65.065347994	65.564071574	10681.818	17545.455	0.4987	6863.637	-43.85	palmyra092007FS192-070924-205305.wav	65.0653	65.0654	Whistle
32	Spectrogram 1	1	67.068281088	67.651465919	11090.909	17318.182	0.5832	6227.273	-43.43	palmyra092007FS192-070924-205305.wav	67.0683	67.0683	Whistle
33	Spectrogram 1	1	69.035021657	69.501569522	14363.636	18363.636	0.4665	4000.000	-44.25	palmyra092007FS192-070924-205305.wav	69.0350	69.0350	Whistle
34	Spectrogram 1	1	69.690601847	71.110355264	9090.909	18545.455	1.4198	9454.546	-43.04	palmyra092007FS192-070924-205305.wav	69.6906	69.6906	Whistle
35	Spectrogram 1	1	72.867950053	74.561197047	6090.909	24000.000	1.6932	17909.091	-38.74	palmyra092007FS192-070924-205305.wav	72.8680	72.8680	Bout
36	Spectrogram 1	1	74.653702227	77.288088879	6818.182	23818.182	2.6344	17000.000	-42.01	palmyra092007FS192-070924-205305.wav	74.6537	74.6537	Bout
37	Spectrogram 1	1	77.388637988	79.005467658	6818.182	24000.000	1.6168	17181.818	-39.38	palmyra092007FS192-070924-205305.wav	77.3886	77.3886	Bout
38	Spectrogram 1	1	79.628872133	81.382448592	6090.909	22590.909	1.7536	16500.000	-41.56	palmyra092007FS192-070924-205305.wav	79.6289	79.6289	Whistle
39	Spectrogram 1	1	82.452286946	83.711161789	7045.455	18545.455	1.2589	11500.000	-43.42	palmyra092007FS192-070924-205305.wav	82.4523	82.4523	Bout
40	Spectrogram 1	1	84.193797512	84.853399666	8272.727	11681.818	0.6596	3409.091	-43.26	palmyra092007FS192-070924-205305.wav	84.1938	84.1938	Whistle
41	Spectrogram 1	1	84.720674842	85.340057353	10409.091	16681.818	0.6194	6272.727	-42.96	palmyra092007FS192-070924-205305.wav	84.7207	84.7207	Whistle
42	Spectrogram 1	1	86.043901115	86.771876663	10500.000	17500.000	0.7280	7000.000	-43.36	palmyra092007FS192-070924-205305.wav	86.0439	86.0439	Whistle
43	Spectrogram 1	1	88.497302107	89.744111057	8863.636	17954.545	1.2468	9090.909	-43.97	palmyra092007FS192-070924-205305.wav	88.4973	88.4973	Whistle
44	Spectrogram 1	1	92.125116692	93.633353324	8045.455	17636.364	1.5082	9590.909	-43.31	palmyra092007FS192-070924-205305.wav	92.1251	92.1251	Bout
45	Spectrogram 1	1	94.132076904	95.024952991	8090.909	19136.364	0.8929	11045.455	-43.65	palmyra092007FS192-070924-205305.wav	94.1321	94.1321	Whistle
46	Spectrogram 1	1	95.358776032	96.187300689	9272.727	18318.182	0.8285	9045.455	-43.34	palmyra092007FS192-070924-205305.wav	95.3588	95.3588	Whistle
47	Spectrogram 1	1	97.043979097	97.796086431	8272.727	18409.091	0.7521	10136.364	-43.09	palmyra092007FS192-070924-205305.wav	97.0440	97.0440	Whistle
48	Spectrogram 1	1	98.520038429	99.348563086	8909.091	18681.818	0.8285	9772.727	-43.10	palmyra092007FS192-070924-205305.wav	98.5200	98.5200	Whistle
49	Spectrogram 1	1	100.522976678	101.061919901	10227.273	16636.364	0.5389	6409.091	-43.18	palmyra092007FS192-070924-205305.wav	100.5230	100.5230	Whistle
50	Spectrogram 1	1	101.641082768	102.385146174	7727.273	18227.273	0.7441	10500.000	-42.40	palmyra092007FS192-070924-205305.wav	101.6411	101.6411	Whistle
51	Spectrogram 1	1	102.449497603	103.330307797	8818.182	17500.000	0.8808	8681.818	-43.06	palmyra092007FS192-070924-205305.wav	102.4495	102.4495	Whistle
52	Spectrogram 1	1	104.235252513	105.051711277	9454.545	17272.727	0.8165	7818.182	-42.37	palmyra092007FS192-070924-205305.wav	104.2353	104.2352	Whistle
53	Spectrogram 1	1	105.047689313	106.813331665	6272.727	18909.091	1.7656	12636.364	-42.73	palmyra092007FS192-070924-205305.wav	105.0477	105.0477	Bout
54	Spectrogram 1	1	106.825397558	108.647347410	9272.727	18363.636	1.8219	9090.909	-43.45	palmyra092007FS192-070924-205305.wav	106.8254	106.8254	Whistle
55	Spectrogram 1	1	109.713167985	110.670395502	8954.545	16909.091	0.9572	7954.546	-43.36	palmyra092007FS192-070924-205305.wav	109.7132	109.7132	Bout
56	Spectrogram 1	1	113.489792514	114.169504490	8863.636	17454.545	0.6797	8590.909	-43.79	palmyra092007FS192-070924-205305.wav	113.4898	113.4898	Whistle
57	Spectrogram 1	1	116.747586378	118.058746757	9545.455	17409.091	1.3112	7863.636	-43.53	palmyra092007FS192-070924-205305.wav	116.7476	116.7476	Whistle
58	Spectrogram 1	1	117.978307470	118.851073735	8000.000	18318.182	0.8728	10318.182	-43.79	palmyra092007FS192-070924-205305.wav	117.9783	117.9783	Whistle
59	Spectrogram 1	1	120.660958297	121.730800816	6136.364	20590.909	1.0698	14454.545	-43.97	palmyra092007FS192-070924-205305.wav	120.6610	120.6610	Whistle
60	Spectrogram 1	1	122.961521908	123.850376030	9545.455	18818.182	0.8889	9272.727	-43.75	palmyra092007FS192-070924-205305.wav	122.9615	122.9615	Whistle
61	Spectrogram 1	1	125.221860721	126.259527524	8590.909	18136.364	1.0377	9545.455	-43.65	palmyra092007FS192-070924-205305.wav	125.2219	125.2219	Whistle
62	Spectrogram 1	1	128.282575594	128.829562746	9863.636	17500.000	0.5470	7636.364	-44.03	palmyra092007FS192-070924-205305.wav	128.2826	128.2826	Whistle
63	Spectrogram 1	1	128.930111855	130.446392417	9454.545	17454.545	1.5163	8000.000	-42.15	palmyra092007FS192-070924-205305.wav	128.9301	128.9301	Whistle
64	Spectrogram 1	1	130.659556528	131.439817612	9772.727	18590.909	0.7803	8818.182	-43.40	palmyra092007FS192-070924-205305.wav	130.6596	130.6596	Whistle
65	Spectrogram 1	1	132.348781715	133.161218515	8590.909	18363.636	0.8124	9772.727	-43.78	palmyra092007FS192-070924-205305.wav	132.3488	132.3488	Whistle
66	Spectrogram 1	1	133.828864598	134.705652827	8454.545	18136.364	0.8768	9681.819	-42.99	palmyra092007FS192-070924-205305.wav	133.8289	133.8289	Whistle
67	Spectrogram 1	1	137.400363790	137.669835401	8681.818	12727.273	0.2695	4045.455	-43.07	palmyra092007FS192-070924-205305.wav	137.4004	137.4004	Whistle
68	Spectrogram 1	1	137.810604154	138.116273445	11363.636	13545.455	0.3057	2181.819	-43.60	palmyra092007FS192-070924-205305.wav	137.8106	137.8106	Whistle
69	Spectrogram 1	1	138.699458276	139.708971329	6272.727	17181.818	1.0095	10909.091	-43.66	palmyra092007FS192-070924-205305.wav	138.6995	138.6995	Whistle
70	Spectrogram 1	1	141.820505352	141.961274104	11318.182	12772.727	0.1408	1454.545	-40.99	palmyra092007FS192-070924-205305.wav	141.8205	141.8205	Whistle
71	Spectrogram 1	1	142.081933035	142.793820725	9590.909	18000.000	0.7119	8409.091	-43.01	palmyra092007FS192-070924-205305.wav	142.0819	142.0819	Whistle
72	Spectrogram 1	1	144.438804146	146.666972399	8863.636	19045.455	2.2282	10181.819	-43.32	palmyra092007FS192-070924-205305.wav	144.4388	144.4388	Bout
73	Spectrogram 1	1	146.759477579	148.311955820	6227.273	17409.091	1.5525	11181.818	-43.27	palmyra092007FS192-070924-205305.wav	146.7595	146.7595	Bout
74	Spectrogram 1	1	148.509032148	148.883074833	8000.000	12954.545	0.3740	4954.545	-42.74	palmyra092007FS192-070924-205305.wav	148.5090	148.5090	Whistle
75	Spectrogram 1	1	149.003733764	149.156568409	9636.364	12727.273	0.1528	3090.909	-41.71	palmyra092007FS192-070924-205305.wav	149.0037	149.0037	Whistle
76	Spectrogram 1	1	149.212875910	150.085642175	9181.818	18727.273	0.8728	9545.455	-43.12	palmyra092007FS192-070924-205305.wav	149.2129	149.2129	Bout
77	Spectrogram 1	1	150.318916108	150.930254689	9863.636	19045.455	0.6113	9181.819	-44.33	palmyra092007FS192-070924-205305.wav	150.3189	150.3189	Whistle
78	Spectrogram 1	1	151.042869691	151.626054523	10136.364	18863.636	0.5832	8727.272	-43.21	palmyra092007FS192-070924-205305.wav	151.0429	151.0429	Whistle
79	Spectrogram 1	1	151.871394348	152.647633469	10863.636	17272.727	0.7762	6409.091	-43.02	palmyra092007FS192-070924-205305.wav	151.8714	151.8714	Whistle
80	Spectrogram 1	1	153.214733179	154.324795341	8681.818	19090.909	1.1101	10409.091	-43.59	palmyra092007FS192-070924-205305.wav	153.2147	153.2147	Whistle
81	Spectrogram 1	1	155.398659824	156.207074659	9090.909	17318.182	0.8084	8227.273	-42.72	palmyra092007FS192-070924-205305.wav	155.3987	155.3987	Whistle
82	Spectrogram 1	1	157.144151205	157.735379965	8863.636	14863.636	0.5912	6000.000	-43.09	palmyra092007FS192-070924-205305.wav	157.1442	157.1441	Whistle
83	Spectrogram 1	1	159.714186427	160.723699480	9090.909	17545.455	1.0095	8454.546	-43.47	palmyra092007FS192-070924-205305.wav	159.7142	159.7142	Whistle
84	Spectrogram 1	1	161.182206153	161.427545979	8590.909	11818.182	0.2453	3227.273	-42.33	palmyra092007FS192-070924-205305.wav	161.1822	161.1822	Whistle
85	Spectrogram 1	1	162.227916885	163.872900306	10363.636	17272.727	1.6450	6909.091	-43.20	palmyra092007FS192-070924-205305.wav	162.2279	162.2279	Whistle
86	Spectrogram 1	1	165.099602171	166.036719865	7909.091	18045.455	0.9371	10136.364	-42.98	palmyra092007FS192-070924-205305.wav	165.0996	165.0996	Bout
87	Spectrogram 1	1	168.646974731	169.946069218	8727.273	17500.000	1.2991	8772.727	-42.62	palmyra092007FS192-070924-205305.wav	168.6470	168.6470	Bout
88	Spectrogram 1	1	171.683560556	172.628722179	7136.364	18500.000	0.9452	11363.636	-42.65	palmyra092007FS192-070924-205305.wav	171.6836	171.6836	Bout
89	Spectrogram 1	1	174.032382584	174.804599740	7409.091	18545.455	0.7722	11136.364	-43.44	palmyra092007FS192-070924-205305.wav	174.0324	174.0324	Whistle
90	Spectrogram 1	1	177.398766748	177.764765505	9181.818	14090.909	0.3660	4909.091	-43.20	palmyra092007FS192-070924-205305.wav	177.3988	177.3988	Whistle
91	Spectrogram 1	1	178.231313370	178.645575698	7818.182	14090.909	0.4143	6272.727	-43.45	palmyra092007FS192-070924-205305.wav	178.2313	178.2313	Whistle
92	Spectrogram 1	1	178.826566831	178.995489334	9181.818	11090.909	0.1689	1909.091	-42.29	palmyra092007FS192-070924-205305.wav	178.8266	178.8266	Whistle
93	Spectrogram 1	1	179.087994514	179.659113452	10590.909	18636.364	0.5711	8045.455	-43.63	palmyra092007FS192-070924-205305.wav	179.0880	179.0880	Whistle
94	Spectrogram 1	1	179.932607028	181.875215811	6181.818	23272.727	1.9426	17090.909	-43.96	palmyra092007FS192-070924-205305.wav	179.9326	179.9326	Bout
95	Spectrogram 1	1	186.194808265	187.212365246	8090.909	19000.000	1.0176	10909.091	-43.46	palmyra092007FS192-070924-205305.wav	186.1948	186.1948	Bout
96	Spectrogram 1	1	187.341068106	187.884033293	7590.909	18000.000	0.5430	10409.091	-43.70	palmyra092007FS192-070924-205305.wav	187.3411	187.3411	Whistle
97	Spectrogram 1	1	187.900121478	188.378735236	7636.364	14681.818	0.4786	7045.454	-43.25	palmyra092007FS192-070924-205305.wav	187.9001	187.9001	Whistle
98	Spectrogram 1	1	188.467218452	189.734137223	8181.818	17409.091	1.2669	9227.273	-43.07	palmyra092007FS192-070924-205305.wav	188.4672	188.4672	Bout
99	Spectrogram 1	1	189.983499013	190.558639916	10318.182	17136.364	0.5751	6818.182	-43.15	palmyra092007FS192-070924-205305.wav	189.9835	189.9835	Whistle
100	Spectrogram 1	1	192.497229471	193.217161091	9954.545	17454.545	0.7199	7500.000	-43.30	palmyra092007FS192-070924-205305.wav	192.4972	192.4972	Whistle
101	Spectrogram 1	1	193.929048781	194.701265937	8318.182	18318.182	0.7722	10000.000	-43.37	palmyra092007FS192-070924-205305.wav	193.9290	193.9290	Whistle
102	Spectrogram 1	1	194.777683260	196.032536139	7727.273	18909.091	1.2549	11181.818	-43.43	palmyra092007FS192-070924-205305.wav	194.7777	194.7777	Bout
103	Spectrogram 1	1	197.295435683	197.858510692	10954.545	18545.455	0.5631	7590.910	-43.92	palmyra092007FS192-070924-205305.wav	197.2954	197.2954	Whistle
104	Spectrogram 1	1	198.027433195	200.452677701	6272.727	24000.000	2.4252	17727.273	-39.24	palmyra092007FS192-070924-205305.wav	198.0274	198.0274	Bout
105	Spectrogram 1	1	200.432567879	202.556165058	6272.727	18863.636	2.1236	12590.909	-39.95	palmyra092007FS192-070924-205305.wav	200.4326	200.4326	Whistle
106	Spectrogram 1	1	203.030755351	203.477193394	10863.636	18727.273	0.4464	7863.637	-42.86	palmyra092007FS192-070924-205305.wav	203.0308	203.0308	Whistle
107	Spectrogram 1	1	203.911565544	204.659650914	7045.455	18409.091	0.7481	11363.636	-43.19	palmyra092007FS192-070924-205305.wav	203.9116	203.9116	Bout
108	Spectrogram 1	1	204.724002344	205.488175571	10409.091	17363.636	0.7642	6954.545	-42.44	palmyra092007FS192-070924-205305.wav	204.7240	204.7240	Whistle
109	Spectrogram 1	1	205.709383611	206.119623975	10136.364	18090.909	0.4102	7954.545	-43.53	palmyra092007FS192-070924-205305.wav	205.7094	205.7094	Whistle
110	Spectrogram 1	1	206.481600767	207.193488458	8181.818	18863.636	0.7119	10681.818	-43.31	palmyra092007FS192-070924-205305.wav	206.4816	206.4816	Bout
111	Spectrogram 1	1	207.330235246	207.740475610	10454.545	18954.545	0.4102	8500.000	-44.10	palmyra092007FS192-070924-205305.wav	207.3302	207.3302	Whistle
112	Spectrogram 1	1	208.569003003	209.164253728	11045.455	17409.091	0.5953	6363.636	-43.71	palmyra092007FS192-070924-205305.wav	208.5690	208.5690	Whistle
113	Spectrogram 1	1	209.437747304	210.008866242	11045.455	18636.364	0.5711	7590.909	-43.61	palmyra092007FS192-070924-205305.wav	209.4377	209.4377	Whistle
114	Spectrogram 1	1	210.161700888	210.708688040	9500.000	18681.818	0.5470	9181.818	-44.04	palmyra092007FS192-070924-205305.wav	210.1617	210.1617	Whistle
115	Spectrogram 1	1	210.785105363	211.452751445	10409.091	18318.182	0.6676	7909.091	-43.94	palmyra092007FS192-070924-205305.wav	210.7851	210.7851	Bout
116	Spectrogram 1	1	211.653849663	212.538681821	10772.727	18090.909	0.8848	7318.182	-43.72	palmyra092007FS192-070924-205305.wav	211.6538	211.6539	Whistle
117	Spectrogram 1	1	212.603033251	213.335030763	7954.545	17636.364	0.7320	9681.819	-43.53	palmyra092007FS192-070924-205305.wav	212.6030	212.6030	Bout
118	Spectrogram 1	1	213.347096656	213.660809876	7500.000	12545.455	0.3137	5045.455	-42.43	palmyra092007FS192-070924-205305.wav	213.3471	213.3471	Whistle
119	Spectrogram 1	1	213.640700054	213.841798272	13272.727	16227.273	0.2011	2954.546	-43.89	palmyra092007FS192-070924-205305.wav	213.6407	213.6407	Whistle
120	Spectrogram 1	1	214.396824916	215.040339213	10090.909	17227.273	0.6435	7136.364	-43.63	palmyra092007FS192-070924-205305.wav	214.3968	214.3968	Whistle
121	Spectrogram 1	1	215.514931007	217.952241406	8545.455	18590.909	2.4373	10045.454	-43.72	palmyra092007FS192-070924-205305.wav	215.5149	215.5149	Whistle
122	Spectrogram 1	1	218.680219690	219.629403278	10181.818	18818.182	0.9492	8636.364	-43.74	palmyra092007FS192-070924-205305.wav	218.6802	218.6802	Whistle
123	Spectrogram 1	1	220.791750976	221.551902239	10363.636	18681.818	0.7602	8318.182	-44.05	palmyra092007FS192-070924-205305.wav	220.7918	220.7918	Whistle
124	Spectrogram 1	1	223.188844468	223.912798052	7363.636	12454.545	0.7240	5090.909	-42.51	palmyra092007FS192-070924-205305.wav	223.1888	223.1889	Whistle
125	Spectrogram 1	1	224.154115913	224.624685743	7545.455	12045.455	0.4706	4500.000	-41.82	palmyra092007FS192-070924-205305.wav	224.1541	224.1541	Whistle
126	Spectrogram 1	1	228.521971939	229.402782132	9590.909	18636.364	0.8808	9045.455	-42.45	palmyra092007FS192-070924-205305.wav	228.5220	228.5220	Bout
127	Spectrogram 1	1	229.479199455	230.030208572	10181.818	18363.636	0.5510	8181.818	-43.80	palmyra092007FS192-070924-205305.wav	229.4792	229.4792	Whistle
128	Spectrogram 1	1	231.478118476	232.314687061	7636.364	17136.364	0.8366	9500.000	-42.99	palmyra092007FS192-070924-205305.wav	231.4781	231.4781	Bout
129	Spectrogram 1	1	232.439367956	232.821454570	7727.273	13409.091	0.3821	5681.818	-42.91	palmyra092007FS192-070924-205305.wav	232.4394	232.4394	Whistle
130	Spectrogram 1	1	233.545408154	234.011956019	11681.818	16181.818	0.4665	4500.000	-44.02	palmyra092007FS192-070924-205305.wav	233.5454	233.5454	Whistle
131	Spectrogram 1	1	236.923860948	238.625151870	8909.091	20590.909	1.7013	11681.818	-44.26	palmyra092007FS192-070924-205305.wav	236.9239	236.9239	Whistle
132	Spectrogram 1	1	238.810162230	239.059524020	8590.909	11227.273	0.2494	2636.364	-42.74	palmyra092007FS192-070924-205305.wav	238.8102	238.8102	Whistle
133	Spectrogram 1	1	239.236490452	239.546181707	8636.364	11772.727	0.3097	3136.363	-42.37	palmyra092007FS192-070924-205305.wav	239.2365	239.2365	Whistle
134	Spectrogram 1	1	239.694994388	241.541076027	8090.909	18636.364	1.8461	10545.455	-43.55	palmyra092007FS192-070924-205305.wav	239.6950	239.6950	Bout
135	Spectrogram 1	1	241.971423825	242.377642225	5772.727	8772.727	0.4062	3000.000	-43.76	palmyra092007FS192-070924-205305.wav	241.9714	241.9714	Whistle
136	Spectrogram 1	1	243.302694027	243.877834929	10227.273	18863.636	0.5751	8636.363	-43.82	palmyra092007FS192-070924-205305.wav	243.3027	243.3027	Whistle
137	Spectrogram 1	1	244.155350470	244.637986192	11772.727	18863.636	0.4826	7090.909	-44.09	palmyra092007FS192-070924-205305.wav	244.1554	244.1554	Whistle
138	Spectrogram 1	1	245.474554778	246.085893360	10090.909	18636.364	0.6113	8545.455	-43.89	palmyra092007FS192-070924-205305.wav	245.4746	245.4746	Whistle
139	Spectrogram 1	1	246.250793898	246.846044623	9181.818	18454.545	0.5953	9272.727	-43.30	palmyra092007FS192-070924-205305.wav	246.2508	246.2508	Whistle
140	Spectrogram 1	1	247.501624447	248.141116779	10636.364	18681.818	0.6395	8045.454	-43.99	palmyra092007FS192-070924-205305.wav	247.5016	247.5016	Whistle
141	Spectrogram 1	1	248.289929460	248.889202149	11181.818	18545.455	0.5993	7363.637	-43.92	palmyra092007FS192-070924-205305.wav	248.2899	248.2899	Whistle
142	Spectrogram 1	1	251.833282793	253.076069779	7636.364	18272.727	1.2428	10636.363	-46.53	palmyra092007FS192-070924-211000.wav	251.8333	2.2973	Whistle
143	Spectrogram 1	1	254.061451046	255.083029992	8000.000	18181.818	1.0216	10181.818	-44.93	palmyra092007FS192-070924-211000.wav	254.0615	4.5255	Whistle
144	Spectrogram 1	1	257.045751333	258.167879388	8409.091	18454.545	1.1221	10045.454	-45.57	palmyra092007FS192-070924-211000.wav	257.0458	7.5098	Whistle
145	Spectrogram 1	1	260.520728535	261.671010341	8090.909	18181.818	1.1503	10090.909	-43.95	palmyra092007FS192-070924-211000.wav	260.5207	10.9847	Whistle
146	Spectrogram 1	1	262.949992591	264.015813145	7272.727	18590.909	1.0658	11318.182	-45.54	palmyra092007FS192-070924-211000.wav	262.9500	13.4140	Whistle
147	Spectrogram 1	1	266.376708957	267.607430050	8318.182	18727.273	1.2307	10409.091	-47.08	palmyra092007FS192-070924-211000.wav	266.3767	16.8407	Whistle
148	Spectrogram 1	1	277.159600864	278.108784452	8318.182	18954.545	0.9492	10636.363	-46.78	palmyra092007FS192-070924-211000.wav	277.1596	27.6236	Whistle
149	Spectrogram 1	1	278.691969283	279.701482336	7909.091	18590.909	1.0095	10681.818	-45.93	palmyra092007FS192-070924-211000.wav	278.6920	29.1560	Whistle
150	Spectrogram 1	1	280.276625976	281.298204922	8681.818	18636.364	1.0216	9954.546	-44.74	palmyra092007FS192-070924-211000.wav	280.2766	30.7406	Whistle
151	Spectrogram 1	1	282.742090125	283.671163891	7727.273	18909.091	0.9291	11181.818	-47.72	palmyra092007FS192-070924-211000.wav	282.7421	33.2061	Whistle
152	Spectrogram 1	1	285.119073795	286.112498990	9181.818	18681.818	0.9934	9500.000	-47.19	palmyra092007FS192-070924-211000.wav	285.1191	35.5831	Whistle
153	Spectrogram 1	1	286.595134713	287.528230443	8545.455	18863.636	0.9331	10318.181	-47.69	palmyra092007FS192-070924-211000.wav	286.5951	37.0591	Whistle
154	Spectrogram 1	1	288.590031769	289.555303214	7409.091	18681.818	0.9653	11272.727	-47.62	palmyra092007FS192-070924-211000.wav	288.5900	39.0540	Whistle
155	Spectrogram 1	1	293.730104951	294.614937109	7500.000	18090.909	0.8848	10590.909	-47.66	palmyra092007FS192-070924-211000.wav	293.7301	44.1941	Whistle
156	Spectrogram 1	1	295.371066407	296.199591064	8272.727	18454.545	0.8285	10181.818	-48.38	palmyra092007FS192-070924-211000.wav	295.3711	45.8351	Whistle
157	Spectrogram 1	1	300.877138345	301.729794788	8136.364	18545.455	0.8527	10409.091	-47.41	palmyra092007FS192-070924-211000.wav	300.8771	51.3411	Whistle
158	Spectrogram 1	1	302.630717540	303.483373983	9045.455	18500.000	0.8527	9454.545	-46.05	palmyra092007FS192-070924-211000.wav	302.6307	53.0947	Whistle
159	Spectrogram 1	1	306.097650814	306.849758148	7772.727	18727.273	0.7521	10954.546	-47.94	palmyra092007FS192-070924-211000.wav	306.0977	56.5616	Whistle
160	Spectrogram 1	1	311.406644336	312.327674173	7363.636	18272.727	0.9210	10909.091	-49.49	palmyra092007FS192-070924-211000.wav	311.4066	61.8706	Whistle
161	Spectrogram 1	1	312.838458492	313.578499933	9818.182	18454.545	0.7400	8636.363	-49.79	palmyra092007FS192-070924-211000.wav	312.8385	63.3025	Whistle
162	Spectrogram 1	1	322.535418196	323.589174464	7954.545	19181.818	1.0538	11227.273	-49.92	palmyra092007FS192-070924-211000.wav	322.5354	72.9994	Whistle
163	Spectrogram 1	1	324.377477871	325.338731695	7772.727	19227.273	0.9613	11454.545	-49.44	palmyra092007FS192-070924-211000.wav	324.3775	74.8415	Whistle
164	Spectrogram 1	1	329.984101654	331.017746493	10136.364	18545.455	1.0336	8409.091	-49.14	palmyra092007FS192-070924-211000.wav	329.9841	80.4481	Whistle
