Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
18	Spectrogram 1	1	231.898634100	232.176803800	7262.000	21298.900	0.2782	14036.900	-93.26	Whistle
19	Spectrogram 1	1	232.884552200	233.381032500	7881.900	12398.500	0.4965	4516.600	-94.03	Whistle
20	Spectrogram 1	1	251.303628500	251.824756700	3763.800	16162.400	0.5211	12398.600	-86.53	Whistle
21	Spectrogram 1	1	251.881094900	252.190954900	6597.800	15763.800	0.3099	9166.000	-83.98	Whistle
22	Spectrogram 1	1	263.458598800	264.043107400	12310.000	22051.700	0.5845	9741.700	-93.97	Whistle
23	Spectrogram 1	1	264.303671500	264.895222400	9653.100	22361.600	0.5916	12708.500	-90.09	Whistle
24	Spectrogram 1	1	265.099448300	265.525505800	20324.700	22317.300	0.4261	1992.600	-104.90	Whistle
25	Spectrogram 1	1	265.694520300	265.919873100	17845.000	22184.500	0.2254	4339.500	-92.43	Whistle
26	Spectrogram 1	1	312.022128000	312.680580500	6907.700	14214.000	0.6585	7306.300	-100.51	Whistle
27	Spectrogram 1	1	313.444667100	314.187626900	9786.000	21608.900	0.7430	11822.900	-101.05	Whistle
28	Spectrogram 1	1	360.856793300	361.170174400	1594.100	4428.000	0.3134	2833.900	-64.51	Whistle
29	Spectrogram 1	1	361.244118300	361.694823800	5313.700	9697.400	0.4507	4383.700	-74.34	Whistle
30	Spectrogram 1	1	364.585679700	365.185745800	4693.700	10986.248	0.6001	6292.548	-69.93	Whistle
31	Spectrogram 1	1	371.578659500	371.969505700	5712.200	17845.000	0.3908	12132.800	-82.55	Whistle
32	Spectrogram 1	1	381.039955600	381.511787800	7439.100	11512.900	0.4718	4073.800	-80.53	Whistle
33	Spectrogram 1	1	381.948408700	382.444889000	3276.800	14612.500	0.4965	11335.700	-81.02	Whistle
34	Spectrogram 1	1	399.455507400	399.811142100	10804.400	17048.000	0.3556	6243.600	-84.99	Whistle
35	Spectrogram 1	1	400.170298000	400.696228000	6553.500	17092.300	0.5259	10538.800	-73.79	Bout
36	Spectrogram 1	1	402.962560700	403.240730500	2169.700	22538.700	0.2782	20369.000	-74.39	Whistle
37	Spectrogram 1	1	403.251293900	404.071718600	5180.800	18199.300	0.8204	13018.500	-68.24	Whistle
38	Spectrogram 1	1	404.437916800	404.761861400	5623.600	22184.500	0.3239	16560.900	-66.63	Whistle
39	Spectrogram 1	1	406.332289700	406.976657600	4782.300	16073.800	0.6444	11291.500	-64.20	Whistle
40	Spectrogram 1	1	409.973147700	410.261880900	8369.000	16605.200	0.2887	8236.200	-69.02	Whistle
41	Spectrogram 1	1	410.335824700	411.004840600	4782.300	15763.800	0.6690	10981.500	-67.63	Whistle
42	Spectrogram 1	1	411.321742900	411.540053400	1992.600	17800.700	0.2183	15808.100	-72.78	Whistle
43	Spectrogram 1	1	412.103435200	412.283013100	5225.100	10405.900	0.1796	5180.800	-71.14	Whistle
44	Spectrogram 1	1	412.406254400	413.554144900	5623.600	16693.700	1.1479	11070.100	-70.07	Whistle
45	Spectrogram 1	1	413.670342400	413.934427600	7616.200	13948.300	0.2641	6332.100	-75.12	Whistle
46	Spectrogram 1	1	414.423865500	414.800627100	4250.900	22450.200	0.3768	18199.300	-69.02	Whistle
47	Spectrogram 1	1	415.335841300	416.392182300	4762.279	16383.800	1.0563	11621.521	-68.70	Bout
48	Spectrogram 1	1	444.314811600	444.691573200	3321.000	8811.800	0.3768	5490.800	-82.39	Whistle
49	Spectrogram 1	1	456.554285700	457.321893400	5048.000	16605.200	0.7676	11557.200	-62.51	Whistle
50	Spectrogram 1	1	457.642316900	457.927528900	5933.600	15232.500	0.2852	9298.900	-62.03	Whistle
51	Spectrogram 1	1	458.174008400	458.702178900	5845.000	19897.839	0.5282	14052.839	-65.97	Whistle
52	Spectrogram 1	1	458.747953700	459.170490000	7527.700	14701.100	0.4225	7173.400	-68.54	Whistle
53	Spectrogram 1	1	459.251476200	459.645843400	4295.200	15011.100	0.3944	10715.900	-65.53	Whistle
54	Spectrogram 1	1	459.733873300	459.913451300	4738.000	7616.200	0.1796	2878.200	-67.82	Whistle
55	Spectrogram 1	1	460.846552400	460.927538600	5623.600	11291.500	0.0810	5667.900	-68.29	Whistle
56	Spectrogram 1	1	461.283173300	462.005006300	4339.500	22848.700	0.7218	18509.200	-78.88	Bout
57	Spectrogram 1	1	462.093036200	462.730361900	4073.800	13948.300	0.6373	9874.500	-75.88	Whistle
58	Spectrogram 1	1	462.769094400	463.026137300	5136.500	6553.500	0.2570	1417.000	-80.40	Whistle
59	Spectrogram 1	1	472.409971700	472.670535800	3409.600	9077.500	0.2606	5667.900	-85.83	Whistle
60	Spectrogram 1	1	474.216314700	474.483921100	5933.600	14169.700	0.2676	8236.100	-59.00	Whistle
61	Spectrogram 1	1	474.603641200	474.740965500	5667.900	8369.000	0.1373	2701.100	-58.35	Whistle
62	Spectrogram 1	1	475.667024400	476.976887100	3542.400	21741.700	1.3099	18199.300	-67.40	Bout
63	Spectrogram 1	1	492.395955200	492.586096600	7129.200	9298.900	0.1901	2169.700	-74.23	Whistle
64	Spectrogram 1	1	506.927692500	507.103749300	13771.200	19084.900	0.1761	5313.700	-75.71	Whistle
65	Spectrogram 1	1	507.519243400	507.928225300	9653.100	22066.798	0.4090	12413.698	-72.44	Whistle
66	Spectrogram 1	1	507.927695200	508.458438200	4998.035	19426.326	0.5307	14428.291	-73.27	Whistle
67	Spectrogram 1	1	508.448823400	509.445305000	4560.900	16029.500	0.9965	11468.600	-64.57	Bout
68	Spectrogram 1	1	509.424179600	510.069734300	6365.422	21963.100	0.6456	15597.678	-72.76	Bout
69	Spectrogram 1	1	510.104163700	511.438269600	4479.371	22184.500	1.3341	17705.129	-61.95	Bout
70	Spectrogram 1	1	511.653060500	512.170667500	9476.000	22804.400	0.5176	13328.400	-74.52	Whistle
71	Spectrogram 1	1	515.741101300	516.649554500	5933.600	10893.000	0.9085	4959.400	-77.53	Whistle
72	Spectrogram 1	1	518.994634300	519.286888600	4472.300	13461.300	0.2923	8989.000	-75.56	Whistle
73	Spectrogram 1	1	519.705903800	519.977031300	4073.800	21653.100	0.2711	17579.300	-79.37	Whistle
74	Spectrogram 1	1	524.181271100	525.918800200	4998.035	14381.139	1.7375	9383.104	-63.70	Whistle
75	Spectrogram 1	1	526.272826100	526.434798400	6863.500	14036.900	0.1620	7173.400	-58.62	Whistle
76	Spectrogram 1	1	526.452404100	526.603812900	8324.700	14081.200	0.1514	5756.500	-57.77	Whistle
77	Spectrogram 1	1	527.146069400	527.392549000	7306.300	13062.700	0.2465	5756.400	-64.20	Whistle
78	Spectrogram 1	1	534.582710600	535.325670400	3365.300	22804.400	0.7430	19439.100	-65.76	Whistle
79	Spectrogram 1	1	535.558065400	535.660178300	6420.700	9166.100	0.1021	2745.400	-78.71	Whistle
80	Spectrogram 1	1	535.741164400	535.857361900	8280.400	14479.700	0.1162	6199.300	-75.47	Whistle
81	Spectrogram 1	1	536.952436900	537.153141600	9298.900	13638.400	0.2007	4339.500	-85.54	Whistle
82	Spectrogram 1	1	538.139059800	538.308074300	5977.900	18996.300	0.1690	13018.400	-77.58	Whistle
83	Spectrogram 1	1	539.424276100	540.029911500	3453.900	8679.000	0.6056	5225.100	-81.89	Whistle
84	Spectrogram 1	1	545.924298300	547.445429200	3675.300	21166.100	1.5211	17490.800	-62.88	Bout
85	Spectrogram 1	1	552.096853300	552.290515800	8501.800	15188.200	0.1937	6686.400	-66.11	Whistle
86	Spectrogram 1	1	552.375023100	553.582772900	3631.000	15055.400	1.2077	11424.400	-63.98	Whistle
87	Spectrogram 1	1	553.885592100	555.569396700	5446.500	19439.100	1.6838	13992.600	-63.71	Bout
88	Spectrogram 1	1	555.632075700	556.319957800	4809.430	15941.000	0.6879	11131.570	-69.39	Whistle
89	Spectrogram 1	1	559.297581700	559.459554000	6110.700	11291.500	0.1620	5180.800	-71.92	Whistle
90	Spectrogram 1	1	561.533503300	561.762377100	10715.900	17845.000	0.2289	7129.100	-79.29	Whistle
91	Spectrogram 1	1	561.783505500	562.061675200	6199.300	13151.300	0.2782	6952.000	-70.93	Whistle
92	Spectrogram 1	1	562.561676600	562.917311400	6376.400	12929.900	0.3556	6553.500	-67.99	Whistle
93	Spectrogram 1	1	563.427876100	563.822243400	6509.200	21254.600	0.3944	14745.400	-76.29	Whistle
94	Spectrogram 1	1	567.508876200	567.744792300	8059.000	10361.600	0.2359	2302.600	-86.21	Whistle
95	Spectrogram 1	1	577.294120100	577.938488100	3719.600	22937.300	0.6444	19217.700	-63.45	Whistle
96	Spectrogram 1	1	578.688490100	579.174406900	5092.300	11114.400	0.4859	6022.100	-60.95	Whistle
97	Spectrogram 1	1	581.167373100	581.417373800	9077.500	10760.100	0.2500	1682.600	-64.90	Whistle
98	Spectrogram 1	1	581.991319000	582.403292000	5623.600	12885.600	0.4120	7262.000	-65.00	Whistle
99	Spectrogram 1	1	583.230759000	583.688506700	6243.500	20147.600	0.4577	13904.100	-69.92	Whistle
100	Spectrogram 1	1	585.945556700	586.114571200	8679.000	11070.100	0.1690	2391.100	-60.74	Whistle
101	Spectrogram 1	1	586.899786100	587.026547000	6199.300	9476.000	0.1268	3276.700	-68.90	Whistle
102	Spectrogram 1	1	587.089927500	587.265984300	6287.800	11025.800	0.1761	4738.000	-71.69	Whistle
103	Spectrogram 1	1	587.459646800	587.572323200	4915.100	14568.300	0.1127	9653.200	-68.56	Whistle
104	Spectrogram 1	1	587.667393800	588.931481800	4428.000	16560.900	1.2641	12132.900	-70.33	Whistle
105	Spectrogram 1	1	591.589434100	592.533607300	3677.800	15607.073	0.9442	11929.273	-64.05	Bout
106	Spectrogram 1	1	592.622316300	593.501919800	6601.179	16031.434	0.8796	9430.255	-69.58	Whistle
107	Spectrogram 1	1	609.030138300	609.533660800	5490.800	9618.861	0.5035	4128.061	-82.17	Whistle
108	Spectrogram 1	1	615.016073100	615.494947600	11158.700	16605.200	0.4789	5446.500	-91.58	Whistle
109	Spectrogram 1	1	619.255524300	619.702708600	5048.000	19881.900	0.4472	14833.900	-80.57	Whistle
110	Spectrogram 1	1	624.747762900	625.980899200	5712.200	21608.900	1.2331	15896.700	-76.29	Bout
111	Spectrogram 1	1	626.237942200	626.755549200	6022.100	12708.500	0.5176	6686.400	-78.98	Whistle
112	Spectrogram 1	1	626.850619900	627.230902600	9697.400	14081.200	0.3803	4383.800	-86.96	Whistle
113	Spectrogram 1	1	628.360032600	629.304850100	4915.100	13013.752	0.9448	8098.652	-81.34	Bout
114	Spectrogram 1	1	633.843597800	634.385852800	6819.200	10848.700	0.5423	4029.500	-80.85	Whistle
115	Spectrogram 1	1	634.452754400	634.755572200	5092.300	7572.000	0.3028	2479.700	-83.89	Whistle
116	Spectrogram 1	1	638.009968100	638.347376300	3677.800	7072.692	0.3374	3394.892	-79.91	Whistle
117	Spectrogram 1	1	642.421090500	642.505597800	5623.600	12132.800	0.0845	6509.200	-73.68	Whistle
118	Spectrogram 1	1	647.755615100	648.378856200	4516.600	10450.200	0.6232	5933.600	-87.13	Whistle
119	Spectrogram 1	1	648.188716400	649.061958200	13284.100	16428.000	0.8732	3143.900	-89.50	Whistle
120	Spectrogram 1	1	649.104211800	649.463367700	5180.800	9121.800	0.3592	3941.000	-82.67	Whistle
121	Spectrogram 1	1	649.797875700	650.787315000	5048.000	11380.100	0.9894	6332.100	-80.24	Whistle
122	Spectrogram 1	1	652.688730100	653.104224200	5402.200	8280.400	0.4155	2878.200	-82.11	Whistle
123	Spectrogram 1	1	656.114795500	656.815501600	5446.500	10405.900	0.7007	4959.400	-77.40	Whistle
124	Spectrogram 1	1	658.699378900	661.431780700	12885.600	15498.200	2.7324	2612.600	-77.54	Whistle
125	Spectrogram 1	1	661.547978200	662.266290100	2789.700	11070.100	0.7183	8280.400	-75.54	Whistle
126	Spectrogram 1	1	666.495177800	667.040954000	6243.500	21741.700	0.5458	15498.200	-81.69	Whistle
127	Spectrogram 1	1	674.516329100	674.646611100	6376.400	8723.200	0.1303	2346.800	-70.46	Whistle
128	Spectrogram 1	1	675.072668600	675.181823900	5092.300	10140.200	0.1092	5047.900	-66.85	Whistle
129	Spectrogram 1	1	679.407189000	679.981134200	4250.900	9741.700	0.5739	5490.800	-66.03	Whistle
130	Spectrogram 1	1	680.224092600	680.357895800	4250.900	7350.600	0.1338	3099.700	-70.21	Whistle
131	Spectrogram 1	1	681.695929100	681.815647800	7926.200	11690.000	0.1197	3763.800	-77.78	Whistle
132	Spectrogram 1	1	681.868464800	681.981141200	8988.900	12708.500	0.1127	3719.600	-81.50	Whistle
133	Spectrogram 1	1	681.882549400	681.995225700	3409.600	6022.100	0.1127	2612.500	-78.02	Whistle
134	Spectrogram 1	1	684.657206300	685.016362200	4162.400	11335.800	0.3592	7173.400	-72.70	Whistle
135	Spectrogram 1	1	686.583270900	686.854398400	5800.700	9608.900	0.2711	3808.200	-74.51	Whistle
136	Spectrogram 1	1	688.488205700	688.864967300	5092.300	14214.000	0.3768	9121.700	-71.33	Whistle
137	Spectrogram 1	1	692.977654200	694.178086500	1886.051	13328.400	1.2004	11442.349	-71.11	Bout
138	Spectrogram 1	1	694.333291700	694.710053300	1594.100	3011.100	0.3768	1417.000	-72.14	Whistle
139	Spectrogram 1	1	694.921321400	695.150195300	1771.200	3055.400	0.2289	1284.200	-73.17	Whistle
140	Spectrogram 1	1	698.171897500	698.784740900	4290.766	12353.635	0.6128	8062.869	-69.33	Bout
141	Spectrogram 1	1	699.185420600	699.678379700	4162.400	9210.300	0.4930	5047.900	-73.63	Whistle
142	Spectrogram 1	1	703.516421300	703.657266700	5712.200	7660.500	0.1408	1948.300	-72.65	Whistle
143	Spectrogram 1	1	708.717142700	708.967143400	4693.700	6553.500	0.2500	1859.800	-81.13	Whistle
144	Spectrogram 1	1	709.562215400	709.850948600	5225.100	22140.200	0.2887	16915.100	-69.58	Whistle
145	Spectrogram 1	1	710.284048400	710.470668600	5003.700	9786.000	0.1866	4782.300	-66.05	Whistle
146	Spectrogram 1	1	711.854476700	712.125604200	7306.300	11867.200	0.2711	4560.900	-70.73	Whistle
147	Spectrogram 1	1	712.960113500	713.115043500	3941.000	9476.000	0.1549	5535.000	-70.94	Whistle
148	Spectrogram 1	1	713.576313900	713.900258400	6686.300	22317.300	0.3239	15631.000	-84.28	Whistle
149	Spectrogram 1	1	714.034061600	714.333358200	7350.600	9476.000	0.2993	2125.400	-79.26	Whistle
150	Spectrogram 1	1	718.664358900	719.093937500	7173.400	12531.400	0.4296	5358.000	-72.17	Whistle
151	Spectrogram 1	1	720.639714600	721.030560700	5269.400	14568.300	0.3908	9298.900	-70.68	Whistle
152	Spectrogram 1	1	721.305209300	722.112849000	1838.900	14239.686	0.8076	12400.786	-70.52	Whistle
153	Spectrogram 1	1	722.579862200	723.441824000	6506.876	18766.208	0.8620	12259.332	-73.12	Bout
154	Spectrogram 1	1	729.284108800	730.203125400	1815.500	18155.000	0.9190	16339.500	-69.67	Whistle
155	Spectrogram 1	1	734.755959200	735.847511500	4915.100	15232.500	1.0916	10317.400	-78.87	Whistle
156	Spectrogram 1	1	738.868648000	740.381088700	4007.859	22208.251	1.5124	18200.392	-72.16	Bout
157	Spectrogram 1	1	741.016542700	741.901290900	6082.515	22161.100	0.8847	16078.585	-72.90	Whistle
158	Spectrogram 1	1	741.118655600	741.488374900	3763.800	5402.200	0.3697	1638.400	-81.05	Whistle
159	Spectrogram 1	1	744.199651400	744.491905800	6287.800	9918.800	0.2923	3631.000	-73.31	Whistle
160	Spectrogram 1	1	744.653878000	744.963738000	4516.600	9298.900	0.3099	4782.300	-76.40	Whistle
161	Spectrogram 1	1	770.016636400	770.911005000	4560.900	14612.500	0.8944	10051.600	-78.06	Bout
162	Spectrogram 1	1	774.868761900	775.030734200	10494.500	12265.700	0.1620	1771.200	-76.97	Whistle
163	Spectrogram 1	1	775.115241500	775.502566500	3763.800	12177.100	0.3873	8413.300	-80.42	Whistle
164	Spectrogram 1	1	777.819475700	778.637360100	4007.859	16738.000	0.8179	12730.141	-70.19	Bout
165	Spectrogram 1	1	778.713844300	778.939197000	4029.500	10450.200	0.2254	6420.700	-67.38	Whistle
166	Spectrogram 1	1	778.974408400	779.125817300	5313.700	8590.400	0.1514	3276.700	-65.12	Whistle
167	Spectrogram 1	1	779.319479800	779.460325200	3365.300	10893.000	0.1408	7527.700	-69.76	Whistle
168	Spectrogram 1	1	784.618789600	785.041326000	7084.900	18597.800	0.4225	11512.900	-87.43	Whistle
169	Spectrogram 1	1	785.139919300	785.904005900	7527.700	22317.300	0.7641	14789.600	-88.44	Whistle
170	Spectrogram 1	1	786.175133400	786.808938000	10538.700	19394.800	0.6338	8856.100	-90.92	Whistle
171	Spectrogram 1	1	787.294856300	788.520211700	4162.400	22317.300	1.2254	18154.900	-71.35	Whistle
172	Spectrogram 1	1	795.534319800	796.073053700	4383.800	11025.800	0.5387	6642.000	-74.41	Whistle
173	Spectrogram 1	1	799.620921300	800.889971300	9298.900	17540.275	1.2690	8241.375	-89.61	Whistle
174	Spectrogram 1	1	803.178708000	803.386455100	11822.900	13195.600	0.2077	1372.700	-90.17	Whistle
175	Spectrogram 1	1	806.189282600	806.735058800	5092.300	7394.800	0.5458	2302.500	-78.02	Whistle
176	Spectrogram 1	1	808.896201800	810.080138300	5233.792	18952.000	1.1839	13718.208	-80.58	Bout
177	Spectrogram 1	1	810.228027500	811.368233000	6648.330	21608.900	1.1402	14960.570	-83.29	Bout
178	Spectrogram 1	1	811.502678900	811.840708000	7439.100	14878.200	0.3380	7439.100	-90.56	Whistle
179	Spectrogram 1	1	811.988595700	812.249159800	5800.700	10804.400	0.2606	5003.700	-88.33	Whistle
180	Spectrogram 1	1	816.580160500	816.784386400	6110.700	15232.500	0.2042	9121.800	-82.29	Whistle
181	Spectrogram 1	1	824.713991500	825.136527900	5225.100	11822.900	0.4225	6597.800	-61.25	Whistle
182	Spectrogram 1	1	825.222525600	826.537940100	5269.400	13239.900	1.3154	7970.500	-64.50	Bout
183	Spectrogram 1	1	826.784419700	827.804730900	5469.548	13638.400	1.0203	8168.852	-66.75	Bout
184	Spectrogram 1	1	827.816114100	828.885814200	5667.900	13673.870	1.0697	8005.970	-65.42	Bout
185	Spectrogram 1	1	829.316118200	830.421365700	4560.900	17115.914	1.1052	12555.014	-72.63	Bout
186	Spectrogram 1	1	830.495697000	830.935839100	5712.200	8723.200	0.4401	3011.000	-72.57	Whistle
187	Spectrogram 1	1	842.759822500	844.052079500	3064.833	16383.800	1.2923	13318.967	-64.41	Bout
188	Spectrogram 1	1	845.256309700	845.330253500	6199.300	16959.400	0.0739	10760.100	-68.27	Whistle
189	Spectrogram 1	1	850.562665200	850.689426100	5357.900	9033.200	0.1268	3675.300	-54.95	Whistle
190	Spectrogram 1	1	850.816187000	851.719392000	4385.069	21830.300	0.9032	17445.231	-67.05	Bout
191	Spectrogram 1	1	851.726277800	853.489063400	3536.346	21166.100	1.7628	17629.754	-67.03	Bout
192	Spectrogram 1	1	853.869013700	854.354930500	7926.200	16118.100	0.4859	8191.900	-76.39	Whistle
193	Spectrogram 1	1	855.176103000	855.530991600	5313.700	17728.880	0.3549	12415.180	-86.42	Whistle
194	Spectrogram 1	1	856.210570900	856.414796800	12398.500	20413.300	0.2042	8014.800	-82.12	Whistle
195	Spectrogram 1	1	856.421839100	856.650712900	7616.200	12974.200	0.2289	5358.000	-80.88	Whistle
196	Spectrogram 1	1	860.147201000	860.552131700	6022.100	11025.800	0.4049	5003.700	-74.19	Whistle
197	Spectrogram 1	1	860.562695100	861.062348100	3630.648	19881.900	0.4997	16251.252	-77.87	Whistle
198	Spectrogram 1	1	861.069233900	861.809177300	3724.951	16472.300	0.7399	12747.349	-77.89	Bout
199	Spectrogram 1	1	861.819795000	862.249319400	3099.600	16959.400	0.4295	13859.800	-78.89	Whistle
200	Spectrogram 1	1	866.703561400	867.230229500	5139.489	10538.700	0.5267	5399.211	-91.66	Whistle
201	Spectrogram 1	1	869.550771400	869.788078300	8324.700	11867.200	0.2373	3542.500	-99.08	Whistle
202	Spectrogram 1	1	870.249347200	870.390192600	6509.200	8059.000	0.1408	1549.800	-92.72	Whistle
203	Spectrogram 1	1	874.066262000	874.583869000	10715.900	17579.300	0.5176	6863.400	-95.25	Whistle
204	Spectrogram 1	1	875.162763200	876.422879400	4782.300	20935.167	1.2601	16152.867	-69.33	Bout
205	Spectrogram 1	1	877.105004200	877.249370800	8811.800	13859.800	0.1444	5048.000	-84.90	Whistle
206	Spectrogram 1	1	877.316272400	877.516977100	7025.540	14214.000	0.2007	7188.460	-80.13	Whistle
207	Spectrogram 1	1	877.714160800	877.872611900	6243.500	12885.600	0.1585	6642.100	-78.89	Whistle
208	Spectrogram 1	1	878.411345800	878.988812100	6774.900	10361.600	0.5775	3586.700	-88.83	Whistle
209	Spectrogram 1	1	887.731799700	888.478280600	3453.900	15011.100	0.7465	11557.200	-77.58	Whistle
210	Spectrogram 1	1	888.509970800	888.810576900	3985.200	13239.900	0.3006	9254.700	-71.05	Whistle
211	Spectrogram 1	1	889.798708300	890.274061700	8590.400	15675.300	0.4754	7084.900	-101.18	Whistle
212	Spectrogram 1	1	890.263498300	891.006458000	3630.648	15748.527	0.7430	12117.879	-73.07	Bout
213	Spectrogram 1	1	893.821607600	894.154020600	7749.100	11222.004	0.3324	3472.904	-93.40	Whistle
214	Spectrogram 1	1	894.814566200	895.338390900	6996.300	14946.955	0.5238	7950.655	-97.82	Whistle
215	Spectrogram 1	1	895.317733300	895.687808100	4782.300	13239.900	0.3701	8457.600	-76.83	Whistle
216	Spectrogram 1	1	895.930766500	896.120907800	4959.400	6199.300	0.1901	1239.900	-83.02	Whistle
217	Spectrogram 1	1	897.131474000	897.554010300	5535.100	9608.900	0.4225	4073.800	-89.05	Whistle
218	Spectrogram 1	1	899.504721400	899.818102500	5446.500	9387.500	0.3134	3941.000	-90.07	Whistle
219	Spectrogram 1	1	904.385019400	904.814598000	4472.300	10090.373	0.4296	5618.073	-78.15	Whistle
220	Spectrogram 1	1	909.184331200	909.370951500	5712.200	9830.300	0.1866	4118.100	-96.63	Whistle
221	Spectrogram 1	1	909.631515500	909.888558500	6082.515	9254.600	0.2570	3172.085	-84.94	Whistle
222	Spectrogram 1	1	914.504771300	914.761814200	2357.564	5269.400	0.2570	2911.836	-80.05	Whistle
223	Spectrogram 1	1	915.902663900	916.385059600	2923.379	8722.986	0.4824	5799.607	-84.36	Whistle
224	Spectrogram 1	1	916.582243200	916.677313900	7527.700	10184.500	0.0951	2656.800	-89.15	Whistle
225	Spectrogram 1	1	931.522433800	932.265393600	7084.900	16206.600	0.7430	9121.700	-83.83	Whistle
226	Spectrogram 1	1	934.058467900	935.373671100	4055.010	17800.700	1.3152	13745.690	-81.45	Whistle
227	Spectrogram 1	1	937.293580800	937.406257100	6509.200	8900.400	0.1127	2391.200	-88.98	Whistle
228	Spectrogram 1	1	938.066050600	939.173867600	3808.100	18376.400	1.1078	14568.300	-71.15	Whistle
229	Spectrogram 1	1	939.649803200	939.870151400	8062.868	11363.458	0.2203	3300.590	-85.04	Whistle
230	Spectrogram 1	1	941.984113800	942.252663100	4007.859	8628.684	0.2685	4620.825	-79.25	Whistle
231	Spectrogram 1	1	947.617558600	948.166855900	6464.900	10893.000	0.5493	4428.100	-91.30	Whistle
232	Spectrogram 1	1	950.723203900	951.025274300	7616.200	10609.037	0.3021	2992.837	-94.29	Whistle
233	Spectrogram 1	1	952.857012500	953.691521800	3852.400	22583.000	0.8345	18730.600	-74.54	Whistle
234	Spectrogram 1	1	954.631666700	955.589415800	5003.700	11380.100	0.9577	6376.400	-82.43	Whistle
235	Spectrogram 1	1	957.704577700	958.821820500	3724.951	23025.800	1.1172	19300.849	-74.33	Whistle
236	Spectrogram 1	1	959.121117100	959.304216200	6907.700	11114.400	0.1831	4206.700	-92.36	Whistle
237	Spectrogram 1	1	959.455625000	959.804771300	7616.200	9608.900	0.3491	1992.700	-89.66	Whistle
238	Spectrogram 1	1	959.797176800	960.811264000	4196.464	23911.400	1.0141	19714.936	-77.07	Whistle
239	Spectrogram 1	1	963.998271700	965.010496200	3896.700	23203.000	1.0122	19306.300	-78.02	Whistle
240	Spectrogram 1	1	973.383726200	973.592996500	9430.255	14524.000	0.2093	5093.745	-92.32	Whistle
241	Spectrogram 1	1	978.837344000	979.133436800	6931.238	11033.399	0.2961	4102.161	-88.72	Whistle
242	Spectrogram 1	1	980.648329500	980.871189900	6176.817	17800.700	0.2229	11623.883	-83.99	Whistle
243	Spectrogram 1	1	990.138826800	991.177562000	5225.100	10051.700	1.0387	4826.600	-84.69	Whistle
244	Spectrogram 1	1	992.980385300	994.670530800	7129.200	22627.300	1.6901	15498.100	-77.69	Whistle
245	Spectrogram 1	1	997.138850300	998.202233500	3276.800	19749.100	1.0634	16472.300	-76.30	Whistle
246	Spectrogram 1	1	1002.435253000	1003.649434000	4162.400	23247.200	1.2142	19084.800	-74.38	Whistle
247	Spectrogram 1	1	1004.022676000	1005.216342000	4118.100	22361.600	1.1937	18243.500	-75.37	Whistle
248	Spectrogram 1	1	1005.458155000	1006.508600000	6155.000	22228.800	1.0504	16073.800	-78.36	Whistle
249	Spectrogram 1	1	1006.881841000	1007.265645000	7173.400	12841.300	0.3838	5667.900	-75.74	Whistle
250	Spectrogram 1	1	1008.195225000	1008.751564000	7402.750	12310.000	0.5563	4907.250	-74.03	Whistle
251	Spectrogram 1	1	1008.914867000	1009.589684000	1791.749	9121.800	0.6748	7330.051	-76.29	Whistle
252	Spectrogram 1	1	1011.593474000	1014.058619000	3960.707	22585.462	2.4651	18624.755	-76.47	Whistle
