Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	Annotation
17	Spectrogram 1	1	63.31671109	63.74008385	7214.145	9053.045	0.4234	1838.9	-60.27	Valencia_02_Combined_2017.wav	63.3167	Whistle
18	Spectrogram 1	1	75.83481182	76.12659575	3909.091	14781.5	0.2918	10872.409	-75.95	Valencia_02_Combined_2017.wav	75.8348	Whistle
19	Spectrogram 1	1	81.23953989	81.81065883	6158.859	18427.699	0.5711	12268.839	-84.61	Valencia_02_Combined_2017.wav	81.2395	Whistle
20	Spectrogram 1	1	87.30743915	87.70502914	4927.2	6681.818	0.3976	1754.618	-83.57	Valencia_02_Combined_2017.wav	87.3074	Whistle
21	Spectrogram 1	1	88.9737763	89.06847505	4057.026	14000	0.0947	9942.974	-76.09	Valencia_02_Combined_2017.wav	88.9738	Whistle
22	Spectrogram 1	1	104.9369532	105.2627323	5670.061	7967.413	0.3258	2297.352	-82.3	Valencia_02_Combined_2017.wav	104.937	Whistle
23	Spectrogram 1	1	107.4126524	107.8930971	2492.872	13909.091	0.4804	11416.219	-74.66	Valencia_02_Combined_2017.wav	107.4127	Whistle
24	Spectrogram 1	1	109.492008	110.628559	1863.636	18755	1.1366	16891.364	-77.64	Valencia_02_Combined_2017.wav	109.492	Bout
25	Spectrogram 1	1	111.1262585	111.5915709	7152.3	14781.5	0.4653	7629.2	-89.6	Valencia_02_Combined_2017.wav	111.1263	Whistle
26	Spectrogram 1	1	113.4388879	113.7083595	3910.387	6354.379	0.2695	2443.992	-85.56	Valencia_02_Combined_2017.wav	113.4389	Whistle
27	Spectrogram 1	1	121.9909665	122.317078	7166.994	11269.155	0.3261	4102.161	-78.59	Valencia_02_Combined_2017.wav	121.991	Whistle
28	Spectrogram 1	1	128.2504503	128.8818987	5230.143	17863.636	0.6314	12633.493	-77.42	Valencia_02_Combined_2017.wav	128.2505	Whistle
29	Spectrogram 1	1	138.100235	138.2289442	4301.426	20590.909	0.1287	16289.483	-75.09	Valencia_02_Combined_2017.wav	138.1002	Whistle
30	Spectrogram 1	1	178.4027027	178.7100112	4772.727	10090.373	0.3073	5317.646	-76.55	Valencia_02_Combined_2017.wav	178.4027	Whistle
31	Spectrogram 1	1	179.2265632	179.4259209	3909.091	6789.784	0.1994	2880.693	-68.58	Valencia_02_Combined_2017.wav	179.2266	Whistle
32	Spectrogram 1	1	185.4266918	185.7766027	3409.091	6727.273	0.3499	3318.182	-78.26	Valencia_02_Combined_2017.wav	185.4267	Whistle
33	Spectrogram 1	1	186.0340049	186.8982031	3617.108	9059.6	0.8642	5442.492	-81.54	Valencia_02_Combined_2017.wav	186.034	Whistle
34	Spectrogram 1	1	187.2076927	188.1288145	5752.456	11095.723	0.9211	5343.267	-68.47	Valencia_02_Combined_2017.wav	187.2077	Whistle
35	Spectrogram 1	1	188.1495618	188.6804574	3568.228	9580.448	0.5309	6012.22	-75.9	Valencia_02_Combined_2017.wav	188.1496	Whistle
36	Spectrogram 1	1	233.8028805	234.0683301	7681.818	13227.273	0.2654	5545.455	-81.55	Valencia_02_Combined_2017.wav	233.8029	Whistle
37	Spectrogram 1	1	247.5941939	248.1170493	1368.635	22533.605	0.5229	21164.969	-82.6	Valencia_02_Combined_2017.wav	247.5942	Whistle
38	Spectrogram 1	1	249.6534425	249.8183402	15739.308	20636.364	0.1649	4897.056	-65.53	Valencia_02_Combined_2017.wav	249.6534	Whistle
39	Spectrogram 1	1	256.2253324	256.382189	11045.455	12909.091	0.1569	1863.636	-72.46	Valencia_02_Combined_2017.wav	256.2253	Whistle
40	Spectrogram 1	1	256.494804	256.6355727	11545.455	13545.455	0.1408	2000	-72.97	Valencia_02_Combined_2017.wav	256.4948	Whistle
41	Spectrogram 1	1	256.9573245	257.0779834	10264.766	12513.238	0.1207	2248.473	-70.24	Valencia_02_Combined_2017.wav	256.9573	Whistle
42	Spectrogram 1	1	275.1485347	275.3602211	6931.238	11205.3	0.2117	4274.062	-72.16	Valencia_02_Combined_2017.wav	275.1485	Whistle
43	Spectrogram 1	1	282.9234918	283.1500418	6834.4	16529.8	0.2266	9695.4	-74.48	Valencia_02_Combined_2017.wav	282.9235	Whistle
44	Spectrogram 1	1	284.2072755	284.4446137	6516.6	11761.6	0.2373	5245	-76.02	Valencia_02_Combined_2017.wav	284.2073	Whistle
45	Spectrogram 1	1	286.2019902	286.6711329	8675.835	14428.291	0.4691	5752.456	-78.45	Valencia_02_Combined_2017.wav	286.202	Whistle
46	Spectrogram 1	1	287.1421625	287.8942699	4594.705	9760.314	0.7521	5165.609	-76.48	Valencia_02_Combined_2017.wav	287.1422	Whistle
47	Spectrogram 1	1	288.1300526	289.1698292	4007.859	8696.1	1.0398	4688.241	-60.94	Valencia_02_Combined_2017.wav	288.1301	Whistle
48	Spectrogram 1	1	290.0113009	291.6226309	3372.709	20537.2	1.6113	17164.491	-73.55	Valencia_02_Combined_2017.wav	290.0113	Bout
49	Spectrogram 1	1	291.7995974	292.5141399	5914.46	9922.607	0.7145	4008.147	-81.4	Valencia_02_Combined_2017.wav	291.7996	Whistle
50	Spectrogram 1	1	303.5827941	304.6015076	4007.4	20696.1	1.0187	16688.7	-66.54	Valencia_02_Combined_2017.wav	303.5828	Whistle
51	Spectrogram 1	1	313.346073	314.1983329	4086.9	16245.8	0.8523	12158.9	-69.6	Valencia_02_Combined_2017.wav	313.3461	Whistle
52	Spectrogram 1	1	322.9896482	323.2871534	4102.161	8911.591	0.2975	4809.43	-56.28	Valencia_02_Combined_2017.wav	322.9896	Whistle
53	Spectrogram 1	1	326.489049	326.8148281	6681.818	11090.909	0.3258	4409.091	-63.63	Valencia_02_Combined_2017.wav	326.489	Whistle
54	Spectrogram 1	1	326.9837506	327.2572442	6545.455	10909.091	0.2735	4363.636	-65.12	Valencia_02_Combined_2017.wav	326.9838	Whistle
55	Spectrogram 1	1	331.8543496	332.3871359	3927.9	10681.818	0.5328	6753.918	-67.58	Valencia_02_Combined_2017.wav	331.8543	Whistle
56	Spectrogram 1	1	332.5823251	333.4080499	3442.043	13768.173	0.8257	10326.13	-67.57	Valencia_02_Combined_2017.wav	332.5823	Bout
57	Spectrogram 1	1	390.4664137	390.7559951	2150.713	10802.444	0.2896	8651.731	-86.89	Valencia_02_Combined_2017.wav	390.4664	Whistle
58	Spectrogram 1	1	692.1056862	694.0844926	6158.859	21311.609	1.9788	15152.749	-80.47	Valencia_02_Combined_2017.wav	692.1057	Whistle
59	Spectrogram 1	1	736.0134643	736.8098132	5865.58	21116.09	0.7963	15250.509	-71.53	Valencia_02_Combined_2017.wav	736.0135	Whistle
60	Spectrogram 1	1	737.2361414	737.4855032	4545.825	17841.141	0.2494	13295.316	-67.81	Valencia_02_Combined_2017.wav	737.2361	Whistle
61	Spectrogram 1	1	739.7659572	739.9389016	9384.929	11437.882	0.1729	2052.953	-60.83	Valencia_02_Combined_2017.wav	739.766	Whistle
62	Spectrogram 1	1	764.8469275	765.6472984	8407.332	11682.281	0.8004	3274.949	-72.75	Valencia_02_Combined_2017.wav	764.8469	Whistle
63	Spectrogram 1	1	795.6229996	796.0372619	6198.7	21458.248	0.4143	15259.548	-61.29	Valencia_02_Combined_2017.wav	795.623	Whistle
64	Spectrogram 1	1	796.3791289	796.4475023	4350.305	20676.171	0.0684	16325.866	-57.88	Valencia_02_Combined_2017.wav	796.3791	Whistle
65	Spectrogram 1	1	799.6003004	800.5016425	5523.422	22826.884	0.9013	17303.462	-75.02	Valencia_02_Combined_2017.wav	799.6003	Whistle
66	Spectrogram 1	1	804.5799145	804.9418913	2639.511	9482.688	0.362	6843.177	-55.54	Valencia_02_Combined_2017.wav	804.5799	Bout
67	Spectrogram 1	1	805.0964904	806.0188729	6459.725	22915.521	0.9224	16455.796	-58.72	Valencia_02_Combined_2017.wav	805.0965	Bout
68	Spectrogram 1	1	806.4476998	806.9327638	6412.574	21116.09	0.4851	14703.516	-65.3	Valencia_02_Combined_2017.wav	806.4477	Whistle
69	Spectrogram 1	1	808.2479461	810.0755824	6501.018	22569.5	1.8276	16068.482	-57.56	Valencia_02_Combined_2017.wav	808.2479	Whistle
70	Spectrogram 1	1	812.4669868	812.6600411	3812.627	18574.338	0.1931	14761.711	-72.01	Valencia_02_Combined_2017.wav	812.467	Whistle
71	Spectrogram 1	1	813.8947842	813.9861415	8358.452	13589.4	0.0914	5230.948	-71.54	Valencia_02_Combined_2017.wav	813.8948	Whistle
72	Spectrogram 1	1	820.6235308	820.9171342	4290.766	18965.377	0.2936	14674.611	-72.82	Valencia_02_Combined_2017.wav	820.6235	Whistle
73	Spectrogram 1	1	820.9500848	821.2992208	9922.607	23387.033	0.3491	13464.426	-67.83	Valencia_02_Combined_2017.wav	820.9501	Whistle
74	Spectrogram 1	1	821.2911769	823.4421357	3665.988	22680.244	2.151	19014.257	-70.92	Valencia_02_Combined_2017.wav	821.2912	Bout
75	Spectrogram 1	1	824.3807003	825.4801337	3347.741	17960.3	1.0994	14612.559	-74.19	Valencia_02_Combined_2017.wav	824.3807	Bout
76	Spectrogram 1	1	828.8276994	829.3585987	9807.466	12757.637	0.5309	2950.171	-61.58	Valencia_02_Combined_2017.wav	828.8277	Whistle
77	Spectrogram 1	1	833.6098151	834.2573514	5230.143	12806.517	0.6475	7576.375	-64.69	Valencia_02_Combined_2017.wav	833.6098	Whistle
78	Spectrogram 1	1	835.1138435	837.5968675	5681.818	17500	2.483	11818.182	-72.59	Valencia_02_Combined_2017.wav	835.1138	Bout
79	Spectrogram 1	1	838.4607768	838.5596921	7772.727	10454.545	0.0989	2681.818	-67.51	Valencia_02_Combined_2017.wav	838.4608	Whistle
80	Spectrogram 1	1	841.0690961	841.1699446	3421.589	9136.364	0.1008	5714.775	-73.96	Valencia_02_Combined_2017.wav	841.0691	Whistle
81	Spectrogram 1	1	864.7547442	864.9719303	5136.364	20900.7	0.2172	15764.336	-67.94	Valencia_02_Combined_2017.wav	864.7547	Whistle
82	Spectrogram 1	1	874.2342152	876.0419878	5816.701	18675.5	1.8078	12858.799	-73.64	Valencia_02_Combined_2017.wav	874.2342	Whistle
83	Spectrogram 1	1	876.2897384	877.3063848	4818.182	22966.9	1.0166	18148.718	-78.72	Valencia_02_Combined_2017.wav	876.2897	Bout
84	Spectrogram 1	1	877.6330745	878.078754	9818.182	12023.576	0.4457	2205.394	-77.7	Valencia_02_Combined_2017.wav	877.6331	Whistle
85	Spectrogram 1	1	883.2336	883.6455303	5516.699	10043.222	0.4119	4526.523	-65.36	Valencia_02_Combined_2017.wav	883.2336	Whistle
86	Spectrogram 1	1	888.1548879	889.1117611	3818.182	15135.56	0.9569	11317.378	-67.73	Valencia_02_Combined_2017.wav	888.1549	Whistle
87	Spectrogram 1	1	889.3553403	889.7729918	3772.102	5681.818	0.4177	1909.716	-77.74	Valencia_02_Combined_2017.wav	889.3553	Whistle
88	Spectrogram 1	1	891.4452937	893.0684329	3576.2	22569.5	1.6231	18993.3	-68.64	Valencia_02_Combined_2017.wav	891.4453	Whistle
89	Spectrogram 1	1	895.0485188	896.6442163	3735.1	20662.3	1.5957	16927.2	-68.27	Valencia_02_Combined_2017.wav	895.0485	Whistle
90	Spectrogram 1	1	899.4762358	900.7692391	3735.1	19231.8	1.293	15496.7	-70.1	Valencia_02_Combined_2017.wav	899.4762	Whistle
91	Spectrogram 1	1	904.4126289	905.8954813	3894	19231.8	1.4829	15337.8	-70.05	Valencia_02_Combined_2017.wav	904.4126	Whistle
92	Spectrogram 1	1	907.3686196	908.7446655	3735.1	22161.1	1.376	18426	-70.74	Valencia_02_Combined_2017.wav	907.3686	Whistle
93	Spectrogram 1	1	909.9685515	911.3192286	3337.7	20662.3	1.3507	17324.6	-72.72	Valencia_02_Combined_2017.wav	909.9686	Whistle
94	Spectrogram 1	1	913.178636	914.351493	2781.5	21689.587	1.1729	18908.087	-69.34	Valencia_02_Combined_2017.wav	913.1786	Whistle
95	Spectrogram 1	1	925.320107	926.3604022	3655.6	20821.2	1.0403	17165.6	-66.78	Valencia_02_Combined_2017.wav	925.3201	Whistle
96	Spectrogram 1	1	933.6791494	934.4473446	3727.273	18388.998	0.7682	14661.725	-64.3	Valencia_02_Combined_2017.wav	933.6791	Whistle
97	Spectrogram 1	1	971.0914628	972.1351627	7681.818	19503.055	1.0437	11821.237	-67.02	Valencia_02_Combined_2017.wav	971.0915	Whistle
98	Spectrogram 1	1	972.4187112	973.2914774	7772.727	12272.727	0.8728	4500	-69.39	Valencia_02_Combined_2017.wav	972.4187	Whistle
99	Spectrogram 1	1	1030.705018	1031.457125	7727.273	15181.818	0.7521	7454.545	-75.32	Valencia_02_Combined_2017.wav	1030.705	Whistle
100	Spectrogram 1	1	1035.217662	1035.493294	8863.636	21595.285	0.2756	12731.649	-81.76	Valencia_02_Combined_2017.wav	1035.2177	Whistle
101	Spectrogram 1	1	1035.599748	1037.663016	7636.364	22590.909	2.0633	14954.545	-77.93	Valencia_02_Combined_2017.wav	1035.5997	Whistle
102	Spectrogram 1	1	1043.804556	1046.074333	5409.091	22396.857	2.2698	16987.766	-73.27	Valencia_02_Combined_2017.wav	1043.8046	Whistle
103	Spectrogram 1	1	1046.189581	1047.853643	6681.818	22208.251	1.6641	15526.433	-72.91	Valencia_02_Combined_2017.wav	1046.1896	Whistle
104	Spectrogram 1	1	1050.711007	1052.92267	6818.182	22590.909	2.2117	15772.727	-68.51	Valencia_02_Combined_2017.wav	1050.711	Whistle
105	Spectrogram 1	1	1053.614863	1054.881782	6365.422	22500	1.2669	16134.578	-65.93	Valencia_02_Combined_2017.wav	1053.6149	Whistle
106	Spectrogram 1	1	1057.74466	1059.422013	8272.727	16314.342	1.6774	8041.615	-71.61	Valencia_02_Combined_2017.wav	1057.7447	Whistle
107	Spectrogram 1	1	1059.450217	1060.73218	8136.364	19001.965	1.282	10865.601	-78.36	Valencia_02_Combined_2017.wav	1059.4502	Whistle
108	Spectrogram 1	1	1060.783671	1061.464501	9000	17068.762	0.6808	8068.762	-77.78	Valencia_02_Combined_2017.wav	1060.7837	Whistle
109	Spectrogram 1	1	1141.158562	1141.571494	6818.182	19863.636	0.4129	13045.454	-79.03	Valencia_02_Combined_2017.wav	1141.1586	Whistle
110	Spectrogram 1	1	1141.762695	1143.111092	6454.545	17000	1.3484	10545.455	-70.6	Valencia_02_Combined_2017.wav	1141.7627	Whistle
111	Spectrogram 1	1	1148.027252	1149.603862	5772.727	17090.909	1.5766	11318.182	-67.97	Valencia_02_Combined_2017.wav	1148.0273	Whistle
112	Spectrogram 1	1	1159.421834	1160.970291	5727.273	22807.9	1.5485	17080.627	-74.41	Valencia_02_Combined_2017.wav	1159.4218	Whistle
113	Spectrogram 1	1	1176.792697	1177.174784	1954.545	12954.545	0.3821	11000	-67.61	Valencia_02_Combined_2017.wav	1176.7927	Whistle
114	Spectrogram 1	1	1188.822507	1190.423135	3442.043	19063.136	1.6006	15621.093	-77.35	Valencia_02_Combined_2017.wav	1188.8225	Whistle
115	Spectrogram 1	1	1244.542683	1245.911936	3863.636	5705.305	1.3693	1841.669	-65.72	Valencia_02_Combined_2017.wav	1244.5427	Whistle
116	Spectrogram 1	1	1246.552717	1247.925818	3772.727	5181.818	1.3731	1409.091	-62.75	Valencia_02_Combined_2017.wav	1246.5527	Whistle
117	Spectrogram 1	1	1250.849377	1252.102735	5233.792	9727.273	1.2534	4493.481	-62.72	Valencia_02_Combined_2017.wav	1250.8494	Whistle
118	Spectrogram 1	1	1253.365632	1253.912619	2909.091	13136.364	0.547	10227.273	-65.49	Valencia_02_Combined_2017.wav	1253.3656	Whistle
119	Spectrogram 1	1	1264.265152	1265.289819	7402.75	16550.098	1.0247	9147.348	-62.39	Valencia_02_Combined_2017.wav	1264.2652	Whistle
120	Spectrogram 1	1	1266.808022	1267.476884	3913.556	20086.444	0.6689	16172.888	-79.14	Valencia_02_Combined_2017.wav	1266.808	Bout
121	Spectrogram 1	1	1269.726987	1270.210097	5818.182	22818.182	0.4831	17000	-68.52	Valencia_02_Combined_2017.wav	1269.727	Whistle
122	Spectrogram 1	1	1272.601251	1274.038387	2829.077	7638.507	1.4371	4809.43	-72.78	Valencia_02_Combined_2017.wav	1272.6013	Whistle
123	Spectrogram 1	1	1289.30591	1290.086171	1909.091	8318.182	0.7803	6409.091	-67.06	Valencia_02_Combined_2017.wav	1289.3059	Whistle
124	Spectrogram 1	1	1298.262824	1299.115481	5090.909	7380.855	0.8527	2289.946	-59.65	Valencia_02_Combined_2017.wav	1298.2628	Whistle
125	Spectrogram 1	1	1302.168152	1302.772797	6272.727	20181.818	0.6046	13909.091	-53.57	Valencia_02_Combined_2017.wav	1302.1682	Whistle
126	Spectrogram 1	1	1328.725183	1328.890084	4045.455	5636.364	0.1649	1590.909	-62.65	Valencia_02_Combined_2017.wav	1328.7252	Whistle
127	Spectrogram 1	1	1335.529141	1337.214344	7045.455	22818.182	1.6852	15772.727	-61.11	Valencia_02_Combined_2017.wav	1335.5291	Whistle
128	Spectrogram 1	1	1344.103967	1344.672959	5893.91	21453.831	0.569	15559.921	-64.9	Valencia_02_Combined_2017.wav	1344.104	Whistle
129	Spectrogram 1	1	1344.690123	1346.126157	7818.182	22019.646	1.436	14201.464	-68.41	Valencia_02_Combined_2017.wav	1344.6901	Whistle
130	Spectrogram 1	1	1418.546505	1419.060677	7685.658	8958.743	0.5142	1273.085	-87.9	Valencia_02_Combined_2017.wav	1418.5465	Whistle
131	Spectrogram 1	1	1420.708398	1421.052189	8440.079	10727.273	0.3438	2287.194	-72.03	Valencia_02_Combined_2017.wav	1420.7084	Whistle
132	Spectrogram 1	1	1421.225133	1421.589471	4500	8958.743	0.3643	4458.743	-71.62	Valencia_02_Combined_2017.wav	1421.2251	Whistle
133	Spectrogram 1	1	1425.991161	1426.618452	3973.5	18681.818	0.6273	14708.318	-68.86	Valencia_02_Combined_2017.wav	1425.9912	Whistle
134	Spectrogram 1	1	1431.512854	1432.795861	5636.364	11818.182	1.283	6181.818	-65.16	Valencia_02_Combined_2017.wav	1431.5129	Whistle
135	Spectrogram 1	1	1437.60613	1438.885114	6090.909	12545.455	1.279	6454.546	-71.83	Valencia_02_Combined_2017.wav	1437.6061	Whistle
136	Spectrogram 1	1	1439.468299	1441.020778	3818.182	21772.727	1.5525	17954.545	-63.71	Valencia_02_Combined_2017.wav	1439.4683	Whistle
137	Spectrogram 1	1	1442.550613	1443.346962	7772.727	22807.9	0.7963	15035.173	-57.54	Valencia_02_Combined_2017.wav	1442.5506	Whistle
138	Spectrogram 1	1	1443.535994	1444.340387	9318.182	18000	0.8044	8681.818	-63.1	Valencia_02_Combined_2017.wav	1443.536	Whistle
139	Spectrogram 1	1	1456.703904	1457.299155	5816.701	21500	0.5953	15683.299	-60.45	Valencia_02_Combined_2017.wav	1456.7039	Whistle
140	Spectrogram 1	1	1458.4977	1458.914921	3258.3	15090.909	0.4172	11832.609	-64.05	Valencia_02_Combined_2017.wav	1458.4977	Whistle
141	Spectrogram 1	1	1462.138121	1463.260083	4053	11364.2	1.122	7311.2	-74.96	Valencia_02_Combined_2017.wav	1462.1381	Whistle
142	Spectrogram 1	1	1463.50821	1464.41441	5721.9	11046.4	0.9062	5324.5	-81.4	Valencia_02_Combined_2017.wav	1463.5082	Whistle
143	Spectrogram 1	1	1466.890346	1468.27655	4856.582	9100.196	1.3862	4243.614	-76.4	Valencia_02_Combined_2017.wav	1466.8903	Whistle
144	Spectrogram 1	1	1503.483479	1504.778445	5280.943	7681.818	1.295	2400.875	-81.64	Valencia_02_Combined_2017.wav	1503.4835	Whistle
145	Spectrogram 1	1	1532.682835	1533.247262	5227.273	19590.909	0.5644	14363.636	-75.73	Valencia_02_Combined_2017.wav	1532.6828	Whistle
146	Spectrogram 1	1	1547.209813	1548.581303	4500	18818.182	1.3715	14318.182	-86.72	Valencia_02_Combined_2017.wav	1547.2098	Whistle
147	Spectrogram 1	1	1809.7715	1810.213916	3909.091	13727.273	0.4424	9818.182	-84.72	Valencia_02_Combined_2017.wav	1809.7715	Bout
148	Spectrogram 1	1	1924.160189	1924.896209	1500	15772.727	0.736	14272.727	-75.57	Valencia_02_Combined_2017.wav	1924.1602	Whistle
149	Spectrogram 1	1	1927.72365	1928.033341	3863.636	8863.636	0.3097	5000	-71.54	Valencia_02_Combined_2017.wav	1927.7236	Whistle
150	Spectrogram 1	1	1947.901845	1948.050658	6000	17954.545	0.1488	11954.545	-67.31	Valencia_02_Combined_2017.wav	1947.9018	Whistle
151	Spectrogram 1	1	1953.955911	1956.449529	5136.364	10818.182	2.4936	5681.818	-72.94	Valencia_02_Combined_2017.wav	1953.9559	Whistle
152	Spectrogram 1	1	1975.779089	1976.86258	7954.545	22883.5	1.0835	14928.955	-68.94	Valencia_02_Combined_2017.wav	1975.7791	Whistle
153	Spectrogram 1	1	1977.130469	1977.83029	15545.455	23318.182	0.6998	7772.727	-68.19	Valencia_02_Combined_2017.wav	1977.1305	Whistle
154	Spectrogram 1	1	1981.993024	1982.725952	11121.9	22804	0.7329	11682.1	-81.42	Valencia_02_Combined_2017.wav	1981.993	Whistle
155	Spectrogram 1	1	1983.03069	1984.365743	6353.7	23121.9	1.3351	16768.2	-84.34	Valencia_02_Combined_2017.wav	1983.0307	Whistle
156	Spectrogram 1	1	1994.461114	1995.000057	3136.364	11757.7	0.5389	8621.336	-69.95	Valencia_02_Combined_2017.wav	1994.4611	Whistle
157	Spectrogram 1	1	2030.509981	2030.690969	3590.909	4684.8	0.181	1093.891	-67.2	Valencia_02_Combined_2017.wav	2030.51	Whistle
158	Spectrogram 1	1	2039.487006	2040.158674	3409.091	16500	0.6717	13090.909	-76.35	Valencia_02_Combined_2017.wav	2039.487	Whistle
159	Spectrogram 1	1	2051.971184	2052.284897	4363.636	13267.6	0.3137	8903.964	-69.58	Valencia_02_Combined_2017.wav	2051.9712	Whistle
160	Spectrogram 1	1	2054.589482	2055.538666	5909.091	19500	0.9492	13590.909	-77.95	Valencia_02_Combined_2017.wav	2054.5895	Whistle
161	Spectrogram 1	1	2067.592488	2068.658309	4454.545	8545.455	1.0658	4090.91	-75.78	Valencia_02_Combined_2017.wav	2067.5925	Whistle
162	Spectrogram 1	1	2134.570262	2134.855822	5409.091	7863.6	0.2856	2454.509	-83.97	Valencia_02_Combined_2017.wav	2134.5703	Whistle
163	Spectrogram 1	1	2160.222352	2160.455626	5954.545	9363.636	0.2333	3409.091	-90.19	Valencia_02_Combined_2017.wav	2160.2224	Whistle
164	Spectrogram 1	1	2163.246869	2163.580692	9454.545	13454.545	0.3338	4000	-94.5	Valencia_02_Combined_2017.wav	2163.2469	Whistle
165	Spectrogram 1	1	2169.522635	2169.806693	11727.273	13045.455	0.2841	1318.182	-79.71	Valencia_02_Combined_2017.wav	2169.5226	Whistle
166	Spectrogram 1	1	2169.90322	2170.832294	5363.636	19045.455	0.9291	13681.819	-72.25	Valencia_02_Combined_2017.wav	2169.9032	Whistle
167	Spectrogram 1	1	2174.69338	2174.801973	8318.182	9909.091	0.1086	1590.909	-72.68	Valencia_02_Combined_2017.wav	2174.6934	Whistle
168	Spectrogram 1	1	2175.066498	2176.524137	3954.545	21850.4	1.4576	17895.855	-66.81	Valencia_02_Combined_2017.wav	2175.0665	Whistle
169	Spectrogram 1	1	2178.455218	2179.965552	3969.6	21055.7	1.5103	17086.1	-65.9	Valencia_02_Combined_2017.wav	2178.4552	Whistle
170	Spectrogram 1	1	2180.270918	2180.616807	5272.727	10045.455	0.3459	4772.728	-88.36	Valencia_02_Combined_2017.wav	2180.2709	Whistle
171	Spectrogram 1	1	2182.060692	2182.338944	6830.5	11837.2	0.2783	5006.7	-87.6	Valencia_02_Combined_2017.wav	2182.0607	Whistle
172	Spectrogram 1	1	2182.9777	2184.469849	4636.364	16409.091	1.4921	11772.727	-68.77	Valencia_02_Combined_2017.wav	2182.9777	Whistle
173	Spectrogram 1	1	2186.976581	2188.295785	3969.6	22724.6	1.3192	18755	-64.19	Valencia_02_Combined_2017.wav	2186.9766	Whistle
174	Spectrogram 1	1	2200.832244	2202.083075	4545.455	21850.4	1.2508	17304.945	-61.28	Valencia_02_Combined_2017.wav	2200.8322	Whistle
175	Spectrogram 1	1	2281.822534	2282.413763	6181.818	11090.909	0.5912	4909.091	-75.5	Valencia_02_Combined_2017.wav	2281.8225	Whistle
176	Spectrogram 1	1	2286.918363	2288.088755	6090.909	19943.1	1.1704	13852.191	-75.4	Valencia_02_Combined_2017.wav	2286.9184	Whistle
177	Spectrogram 1	1	2289.61308	2290.703032	4181.818	17909.091	1.09	13727.273	-74.35	Valencia_02_Combined_2017.wav	2289.6131	Whistle
178	Spectrogram 1	1	2295.026644	2295.778751	3095.4	11545.455	0.7521	8450.055	-68.14	Valencia_02_Combined_2017.wav	2295.0266	Whistle
179	Spectrogram 1	1	2295.802883	2296.96523	5181.818	18863.636	1.1623	13681.818	-79.7	Valencia_02_Combined_2017.wav	2295.8029	Whistle
